Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1960,1960,0,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1961,1961,0.0006,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1962,1962,0.0002,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1963,1963,0.0003,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1964,1964,0.0002,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1965,1965,0.0001,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1966,1966,0.0005,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1967,1967,0.0002,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1968,1968,0.0009,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1969,1969,0.0002,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1970,1970,0.0003,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1971,1971,0.0001,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1972,1972,0.0002,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1973,1973,0.0001,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1974,1974,0.0013,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1975,1975,0.0006,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1976,1976,0.0001,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1977,1977,0,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1978,1978,0,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1979,1979,0.0027,,,,,,
,,Central California Valley,,,Historical Rate: Fire,Historical Year: Fire,1980,1980,0.0002,,,,,,
