StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Southern California Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2007,2007,0
Southern California Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2008,2008,0
Southern California Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2009,2009,0
Southern California Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2010,2010,0
Southern California Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2011,2011,0
Southern California Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2012,2012,0
Southern California Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2013,2013,0
Southern California Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2014,2014,0
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,19
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2e3,2e3,26
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2001,2001,30
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2002,2002,29
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2003,2003,24
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2004,2004,28
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2005,2005,48
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2006,2006,33
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2007,2007,36
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2008,2008,91
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2009,2009,73
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2010,2010,34
