Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,California Chaparral and Oak Woodlands,,Fire,532.8114,Normal,Iteration and Timestep,314.8891179,217.9222821,847.7005179
2018,California Chaparral and Oak Woodlands,,Fire,549.2709,Normal,Iteration and Timestep,292.9658756,256.3050244,842.2367756
2019,California Chaparral and Oak Woodlands,,Fire,364.089,Normal,Iteration and Timestep,266.1259882,97.9630118,630.2149882
2020,California Chaparral and Oak Woodlands,,Fire,427.0937,Normal,Iteration and Timestep,249.7686498,177.3250502,676.8623498
2021,California Chaparral and Oak Woodlands,,Fire,683.5715,Normal,Iteration and Timestep,513.0679788,170.5035212,1196.639479
2022,California Chaparral and Oak Woodlands,,Fire,366.3815,Normal,Iteration and Timestep,217.3286472,149.0528528,583.7101472
2023,California Chaparral and Oak Woodlands,,Fire,581.0128,Normal,Iteration and Timestep,330.897004,250.115796,911.909804
2024,California Chaparral and Oak Woodlands,,Fire,426.7459,Normal,Iteration and Timestep,241.2770011,185.4688989,668.0229011
2025,California Chaparral and Oak Woodlands,,Fire,675.2059,Normal,Iteration and Timestep,421.1994748,254.0064252,1096.405375
2026,California Chaparral and Oak Woodlands,,Fire,363.6339,Normal,Iteration and Timestep,196.4761397,167.1577603,560.1100397
2027,California Chaparral and Oak Woodlands,,Fire,585.9571,Normal,Iteration and Timestep,367.8267418,218.1303582,953.7838418
2028,California Chaparral and Oak Woodlands,,Fire,505.1404,Normal,Iteration and Timestep,334.4031019,170.7372981,839.5435019
2029,California Chaparral and Oak Woodlands,,Fire,620.037,Normal,Iteration and Timestep,394.28024,225.75676,1014.31724
2030,California Chaparral and Oak Woodlands,,Fire,413.3036,Normal,Iteration and Timestep,268.9396012,144.3639988,682.2432012
2031,California Chaparral and Oak Woodlands,,Fire,601.2385,Normal,Iteration and Timestep,362.5977318,238.6407682,963.8362318
2032,California Chaparral and Oak Woodlands,,Fire,508.7595,Normal,Iteration and Timestep,313.7838065,194.9756935,822.5433065
2033,California Chaparral and Oak Woodlands,,Fire,750.989,Normal,Iteration and Timestep,405.6252985,345.3637015,1156.614299
2034,California Chaparral and Oak Woodlands,,Fire,804.7792,Normal,Iteration and Timestep,556.4385159,248.3406841,1361.217716
2035,California Chaparral and Oak Woodlands,,Fire,1178.8964,Normal,Iteration and Timestep,600.769026,578.127374,1779.665426
2036,California Chaparral and Oak Woodlands,,Fire,801.3374,Normal,Iteration and Timestep,450.3994733,350.9379267,1251.736873
2037,California Chaparral and Oak Woodlands,,Fire,666.4627,Normal,Iteration and Timestep,474.2495194,192.2131806,1140.712219
2038,California Chaparral and Oak Woodlands,,Fire,735.488,Normal,Iteration and Timestep,637.8962252,97.5917748,1373.384225
2039,California Chaparral and Oak Woodlands,,Fire,951.7094,Normal,Iteration and Timestep,568.3892497,383.3201503,1520.09865
2040,California Chaparral and Oak Woodlands,,Fire,1095.9629,Normal,Iteration and Timestep,687.2398932,408.7230068,1783.202793
2041,California Chaparral and Oak Woodlands,,Fire,668.6135,Normal,Iteration and Timestep,442.3739589,226.2395411,1110.987459
2042,California Chaparral and Oak Woodlands,,Fire,833.5723,Normal,Iteration and Timestep,523.3343739,310.2379261,1356.906674
2043,California Chaparral and Oak Woodlands,,Fire,794.6435,Normal,Iteration and Timestep,464.7472143,329.8962857,1259.390714
2044,California Chaparral and Oak Woodlands,,Fire,497.4856,Normal,Iteration and Timestep,297.5959337,199.8896663,795.0815337
2045,California Chaparral and Oak Woodlands,,Fire,624.3796,Normal,Iteration and Timestep,345.3452669,279.0343331,969.7248669
2046,California Chaparral and Oak Woodlands,,Fire,519.3727,Normal,Iteration and Timestep,360.1847581,159.1879419,879.5574581
2047,California Chaparral and Oak Woodlands,,Fire,742.8184,Normal,Iteration and Timestep,377.6744915,365.1439085,1120.492892
2048,California Chaparral and Oak Woodlands,,Fire,586.3126,Normal,Iteration and Timestep,440.7670904,145.5455096,1027.07969
2049,California Chaparral and Oak Woodlands,,Fire,639.4384,Normal,Iteration and Timestep,415.3324922,224.1059078,1054.770892
2050,California Chaparral and Oak Woodlands,,Fire,540.4941,Normal,Iteration and Timestep,356.3550773,184.1390227,896.8491773
