Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2061,California Chaparral and Oak Woodlands,,Fire,755.9749,Normal,Iteration and Timestep,434.291001,321.683899,1190.265901
2062,California Chaparral and Oak Woodlands,,Fire,859.8877,Normal,Iteration and Timestep,378.1114001,481.7762999,1237.9991
2063,California Chaparral and Oak Woodlands,,Fire,829.8311,Normal,Iteration and Timestep,427.6917798,402.1393202,1257.52288
2064,California Chaparral and Oak Woodlands,,Fire,719.7045,Normal,Iteration and Timestep,353.9764285,365.7280715,1073.680929
2065,California Chaparral and Oak Woodlands,,Fire,771.5735,Normal,Iteration and Timestep,443.9658165,327.6076835,1215.539317
2066,California Chaparral and Oak Woodlands,,Fire,576.0243,Normal,Iteration and Timestep,364.9492208,211.0750792,940.9735208
2067,California Chaparral and Oak Woodlands,,Fire,720.0018,Normal,Iteration and Timestep,311.0474678,408.9543322,1031.049268
2068,California Chaparral and Oak Woodlands,,Fire,592.4163,Normal,Iteration and Timestep,353.5541482,238.8621518,945.9704482
2069,California Chaparral and Oak Woodlands,,Fire,781.1389,Normal,Iteration and Timestep,392.0355951,389.1033049,1173.174495
2070,California Chaparral and Oak Woodlands,,Fire,581.2075,Normal,Iteration and Timestep,339.8822142,241.3252858,921.0897142
2071,California Chaparral and Oak Woodlands,,Fire,558.3572,Normal,Iteration and Timestep,318.3542328,240.0029672,876.7114328
2072,California Chaparral and Oak Woodlands,,Fire,714.4152,Normal,Iteration and Timestep,340.6927728,373.7224272,1055.107973
2073,California Chaparral and Oak Woodlands,,Fire,494.0373,Normal,Iteration and Timestep,282.5504075,211.4868925,776.5877075
2074,California Chaparral and Oak Woodlands,,Fire,616.6922,Normal,Iteration and Timestep,344.5395589,272.1526411,961.2317589
2075,California Chaparral and Oak Woodlands,,Fire,769.2076,Normal,Iteration and Timestep,365.8400969,403.3675031,1135.047697
2076,California Chaparral and Oak Woodlands,,Fire,803.974,Normal,Iteration and Timestep,355.3609366,448.6130634,1159.334937
2077,California Chaparral and Oak Woodlands,,Fire,810.2041,Normal,Iteration and Timestep,517.7009369,292.5031631,1327.905037
2078,California Chaparral and Oak Woodlands,,Fire,672.1148,Normal,Iteration and Timestep,313.0840679,359.0307321,985.1988679
