Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,California Chaparral and Oak Woodlands,,Fire,962.1335,Normal,Iteration and Timestep,448.5066138,513.6268862,1410.640114
2018,California Chaparral and Oak Woodlands,,Fire,644.9196,Normal,Iteration and Timestep,407.7736669,237.1459331,1052.693267
2019,California Chaparral and Oak Woodlands,,Fire,660.6813,Normal,Iteration and Timestep,360.7295379,299.9517621,1021.410838
2020,California Chaparral and Oak Woodlands,,Fire,604.3678,Normal,Iteration and Timestep,366.0739259,238.2938741,970.4417259
2021,California Chaparral and Oak Woodlands,,Fire,513.408,Normal,Iteration and Timestep,327.199766,186.208234,840.607766
2022,California Chaparral and Oak Woodlands,,Fire,722.4892,Normal,Iteration and Timestep,397.0670758,325.4221242,1119.556276
2023,California Chaparral and Oak Woodlands,,Fire,874.8101,Normal,Iteration and Timestep,424.9018055,449.9082945,1299.711906
2024,California Chaparral and Oak Woodlands,,Fire,614.9442,Normal,Iteration and Timestep,288.4777087,326.4664913,903.4219087
2025,California Chaparral and Oak Woodlands,,Fire,654.5802,Normal,Iteration and Timestep,424.5484445,230.0317555,1079.128645
2026,California Chaparral and Oak Woodlands,,Fire,554.7931,Normal,Iteration and Timestep,324.4792473,230.3138527,879.2723473
2027,California Chaparral and Oak Woodlands,,Fire,534.9299,Normal,Iteration and Timestep,276.8702064,258.0596936,811.8001064
2028,California Chaparral and Oak Woodlands,,Fire,626.7441,Normal,Iteration and Timestep,330.9660008,295.7780992,957.7101008
2029,California Chaparral and Oak Woodlands,,Fire,793.7835,Normal,Iteration and Timestep,476.2819043,317.5015957,1270.065404
2030,California Chaparral and Oak Woodlands,,Fire,681.6115,Normal,Iteration and Timestep,413.6124146,267.9990854,1095.223915
2031,California Chaparral and Oak Woodlands,,Fire,760.7016,Normal,Iteration and Timestep,352.9480018,407.7535982,1113.649602
2032,California Chaparral and Oak Woodlands,,Fire,591.3306,Normal,Iteration and Timestep,363.4214488,227.9091512,954.7520488
2033,California Chaparral and Oak Woodlands,,Fire,474.9229,Normal,Iteration and Timestep,302.8990241,172.0238759,777.8219241
2034,California Chaparral and Oak Woodlands,,Fire,845.6623,Normal,Iteration and Timestep,438.7147453,406.9475547,1284.377045
2035,California Chaparral and Oak Woodlands,,Fire,709.9346,Normal,Iteration and Timestep,351.2983427,358.6362573,1061.232943
