Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,California Chaparral and Oak Woodlands,,Fire,814.3978,Normal,Iteration and Timestep,497.2696751,317.1281249,1311.667475
2018,California Chaparral and Oak Woodlands,,Fire,541.4079,Normal,Iteration and Timestep,336.4758563,204.9320437,877.8837563
2019,California Chaparral and Oak Woodlands,,Fire,622.9406,Normal,Iteration and Timestep,425.0639486,197.8766514,1048.004549
2020,California Chaparral and Oak Woodlands,,Fire,597.0084,Normal,Iteration and Timestep,275.1887321,321.8196679,872.1971321
2021,California Chaparral and Oak Woodlands,,Fire,695.7572,Normal,Iteration and Timestep,510.7661721,184.9910279,1206.523372
2022,California Chaparral and Oak Woodlands,,Fire,476.6818,Normal,Iteration and Timestep,335.8187392,140.8630608,812.5005392
2023,California Chaparral and Oak Woodlands,,Fire,524.4311,Normal,Iteration and Timestep,245.0696375,279.3614625,769.5007375
2024,California Chaparral and Oak Woodlands,,Fire,362.1123,Normal,Iteration and Timestep,181.7268967,180.3854033,543.8391967
2025,California Chaparral and Oak Woodlands,,Fire,653.8247,Normal,Iteration and Timestep,394.1152634,259.7094366,1047.939963
2026,California Chaparral and Oak Woodlands,,Fire,583.5141,Normal,Iteration and Timestep,364.6823524,218.8317476,948.1964524
2027,California Chaparral and Oak Woodlands,,Fire,867.5599,Normal,Iteration and Timestep,504.0081463,363.5517537,1371.568046
2028,California Chaparral and Oak Woodlands,,Fire,420.3685,Normal,Iteration and Timestep,189.3796369,230.9888631,609.7481369
2029,California Chaparral and Oak Woodlands,,Fire,484.0742,Normal,Iteration and Timestep,261.7505317,222.3236683,745.8247317
2030,California Chaparral and Oak Woodlands,,Fire,807.4974,Normal,Iteration and Timestep,412.0094741,395.4879259,1219.506874
2031,California Chaparral and Oak Woodlands,,Fire,930.3043,Normal,Iteration and Timestep,513.2805772,417.0237228,1443.584877
