Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2061,California Chaparral and Oak Woodlands,,Fire,642.2084,Normal,Iteration and Timestep,365.7050396,276.5033604,1007.91344
2062,California Chaparral and Oak Woodlands,,Fire,868.7484,Normal,Iteration and Timestep,464.6154126,404.1329874,1333.363813
2063,California Chaparral and Oak Woodlands,,Fire,447.9344,Normal,Iteration and Timestep,237.7429364,210.1914636,685.6773364
2064,California Chaparral and Oak Woodlands,,Fire,678.0181,Normal,Iteration and Timestep,361.248182,316.769918,1039.266282
2065,California Chaparral and Oak Woodlands,,Fire,691.841,Normal,Iteration and Timestep,355.592462,336.248538,1047.433462
2066,California Chaparral and Oak Woodlands,,Fire,588.1447,Normal,Iteration and Timestep,304.6048737,283.5398263,892.7495737
2067,California Chaparral and Oak Woodlands,,Fire,523.3336,Normal,Iteration and Timestep,315.6410051,207.6925949,838.9746051
2068,California Chaparral and Oak Woodlands,,Fire,770.3527,Normal,Iteration and Timestep,288.4770955,481.8756045,1058.829796
2069,California Chaparral and Oak Woodlands,,Fire,795.5923,Normal,Iteration and Timestep,448.2114446,347.3808554,1243.803745
2070,California Chaparral and Oak Woodlands,,Fire,680.4381,Normal,Iteration and Timestep,421.0473218,259.3907782,1101.485422
2071,California Chaparral and Oak Woodlands,,Fire,727.2026,Normal,Iteration and Timestep,322.9247585,404.2778415,1050.127359
2072,California Chaparral and Oak Woodlands,,Fire,760.5693,Normal,Iteration and Timestep,367.9222823,392.6470177,1128.491582
2073,California Chaparral and Oak Woodlands,,Fire,626.6319,Normal,Iteration and Timestep,289.6792423,336.9526577,916.3111423
2074,California Chaparral and Oak Woodlands,,Fire,635.4114,Normal,Iteration and Timestep,285.2412957,350.1701043,920.6526957
2075,California Chaparral and Oak Woodlands,,Fire,672.4331,Normal,Iteration and Timestep,358.6588649,313.7742351,1031.091965
2076,California Chaparral and Oak Woodlands,,Fire,725.8302,Normal,Iteration and Timestep,353.4098313,372.4203687,1079.240031
2077,California Chaparral and Oak Woodlands,,Fire,689.5905,Normal,Iteration and Timestep,403.6027562,285.9877438,1093.193256
2078,California Chaparral and Oak Woodlands,,Fire,650.5378,Normal,Iteration and Timestep,384.3310683,266.2067317,1034.868868
2079,California Chaparral and Oak Woodlands,,Fire,573.886,Normal,Iteration and Timestep,310.0756468,263.8103532,883.9616468
2080,California Chaparral and Oak Woodlands,,Fire,736.9339,Normal,Iteration and Timestep,314.6302696,422.3036304,1051.56417
2081,California Chaparral and Oak Woodlands,,Fire,529.2743,Normal,Iteration and Timestep,341.692617,187.581683,870.966917
2082,California Chaparral and Oak Woodlands,,Fire,694.9669,Normal,Iteration and Timestep,424.3763022,270.5905978,1119.343202
2083,California Chaparral and Oak Woodlands,,Fire,614.9726,Normal,Iteration and Timestep,329.557079,285.415521,944.529679
2084,California Chaparral and Oak Woodlands,,Fire,645.046,Normal,Iteration and Timestep,284.4877821,360.5582179,929.5337821
2085,California Chaparral and Oak Woodlands,,Fire,651.4311,Normal,Iteration and Timestep,350.5111197,300.9199803,1001.94222
2086,California Chaparral and Oak Woodlands,,Fire,704.3119,Normal,Iteration and Timestep,346.8179013,357.4939987,1051.129801
2087,California Chaparral and Oak Woodlands,,Fire,620.6387,Normal,Iteration and Timestep,361.3696881,259.2690119,982.0083881
2088,California Chaparral and Oak Woodlands,,Fire,639.269,Normal,Iteration and Timestep,475.4869071,163.7820929,1114.755907
2089,California Chaparral and Oak Woodlands,,Fire,755.2008,Normal,Iteration and Timestep,374.5082306,380.6925694,1129.709031
2090,California Chaparral and Oak Woodlands,,Fire,587.6731,Normal,Iteration and Timestep,338.8764931,248.7966069,926.5495931
2091,California Chaparral and Oak Woodlands,,Fire,516.6345,Normal,Iteration and Timestep,307.4326567,209.2018433,824.0671567
2092,California Chaparral and Oak Woodlands,,Fire,702.3255,Normal,Iteration and Timestep,358.2210533,344.1044467,1060.546553
2093,California Chaparral and Oak Woodlands,,Fire,683.3014,Normal,Iteration and Timestep,409.5774454,273.7239546,1092.878845
2094,California Chaparral and Oak Woodlands,,Fire,868.1654,Normal,Iteration and Timestep,423.5322489,444.6331511,1291.697649
2095,California Chaparral and Oak Woodlands,,Fire,498.5963,Normal,Iteration and Timestep,276.6799232,221.9163768,775.2762232
2096,California Chaparral and Oak Woodlands,,Fire,737.2234,Normal,Iteration and Timestep,361.6404932,375.5829068,1098.863893
2097,California Chaparral and Oak Woodlands,,Fire,539.2899,Normal,Iteration and Timestep,320.2947326,218.9951674,859.5846326
2098,California Chaparral and Oak Woodlands,,Fire,747.1047,Normal,Iteration and Timestep,417.5114682,329.5932318,1164.616168
2099,California Chaparral and Oak Woodlands,,Fire,548.8203,Normal,Iteration and Timestep,386.9085292,161.9117708,935.7288292
2017,Cascades,,Fire,8.9824,Normal,Iteration and Timestep,43.10868072,0,52.09108072
2018,Cascades,,Fire,7.4108,Normal,Iteration and Timestep,44.06738059,0,51.47818059
2019,Cascades,,Fire,14.2847,Normal,Iteration and Timestep,52.281067,0,66.565767
2020,Cascades,,Fire,3.3058,Normal,Iteration and Timestep,16.75227964,0,20.05807964
2021,Cascades,,Fire,6.8241,Normal,Iteration and Timestep,20.4907305,0,27.3148305
2022,Cascades,,Fire,22.653,Normal,Iteration and Timestep,99.28890352,0,121.9419035
2023,Cascades,,Fire,11.7012,Normal,Iteration and Timestep,31.56551946,0,43.26671946
2024,Cascades,,Fire,9.8238,Normal,Iteration and Timestep,55.15881284,0,64.98261284
2025,Cascades,,Fire,21.2208,Normal,Iteration and Timestep,99.78935536,0,121.0101554
2026,Cascades,,Fire,6.489,Normal,Iteration and Timestep,35.3072542,0,41.7962542
2027,Cascades,,Fire,11.0146,Normal,Iteration and Timestep,73.55939655,0,84.57399655
2028,Cascades,,Fire,8.931,Normal,Iteration and Timestep,34.91555841,0,43.84655841
2029,Cascades,,Fire,11.8156,Normal,Iteration and Timestep,42.31435185,0,54.12995185
2030,Cascades,,Fire,16.9319,Normal,Iteration and Timestep,85.41309527,0,102.3449953
2031,Cascades,,Fire,16.6024,Normal,Iteration and Timestep,87.14100167,0,103.7434017
2032,Cascades,,Fire,14.8854,Normal,Iteration and Timestep,68.87580577,0,83.76120577
2033,Cascades,,Fire,6.2005,Normal,Iteration and Timestep,25.91386612,0,32.11436612
2034,Cascades,,Fire,3.2295,Normal,Iteration and Timestep,14.24331148,0,17.47281148
2035,Cascades,,Fire,12.982,Normal,Iteration and Timestep,59.11554679,0,72.09754679
2036,Cascades,,Fire,5.0521,Normal,Iteration and Timestep,13.41184621,0,18.46394621
2037,Cascades,,Fire,5.4519,Normal,Iteration and Timestep,27.28555205,0,32.73745205
2038,Cascades,,Fire,13.7898,Normal,Iteration and Timestep,61.17311215,0,74.96291215
2039,Cascades,,Fire,19.1824,Normal,Iteration and Timestep,58.23368984,0,77.41608984
2040,Cascades,,Fire,21.8331,Normal,Iteration and Timestep,78.5794488,0,100.4125488
2041,Cascades,,Fire,5.3472,Normal,Iteration and Timestep,18.12302052,0,23.47022052
2042,Cascades,,Fire,13.7148,Normal,Iteration and Timestep,48.17512346,0,61.88992346
2043,Cascades,,Fire,8.7161,Normal,Iteration and Timestep,30.98941689,0,39.70551689
2044,Cascades,,Fire,4.8554,Normal,Iteration and Timestep,15.30798329,0,20.16338329
2045,Cascades,,Fire,6.8214,Normal,Iteration and Timestep,17.2419707,0,24.0633707
2046,Cascades,,Fire,1.0314,Normal,Iteration and Timestep,6.30444224,0,7.33584224
2047,Cascades,,Fire,9.5602,Normal,Iteration and Timestep,55.53292093,0,65.09312093
2048,Cascades,,Fire,21.4564,Normal,Iteration and Timestep,72.23128209,0,93.68768209
2049,Cascades,,Fire,4.6257,Normal,Iteration and Timestep,25.43067357,0,30.05637357
2050,Cascades,,Fire,30.0868,Normal,Iteration and Timestep,102.7615968,0,132.8483968
2051,Cascades,,Fire,9.8227,Normal,Iteration and Timestep,36.46259417,0,46.28529417
2052,Cascades,,Fire,16.1916,Normal,Iteration and Timestep,47.43369419,0,63.62529419
2053,Cascades,,Fire,30.9822,Normal,Iteration and Timestep,109.3241405,0,140.3063405
2054,Cascades,,Fire,46.0274,Normal,Iteration and Timestep,136.5137299,0,182.5411299
2055,Cascades,,Fire,3.4042,Normal,Iteration and Timestep,14.7611546,0,18.1653546
2056,Cascades,,Fire,16.935,Normal,Iteration and Timestep,64.3666921,0,81.3016921
2057,Cascades,,Fire,12.9071,Normal,Iteration and Timestep,32.42559708,0,45.33269708
2058,Cascades,,Fire,4.1513,Normal,Iteration and Timestep,15.76442714,0,19.91572714
