Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2062,California Chaparral and Oak Woodlands,,Fire,802.3731,Normal,Iteration and Timestep,422.1929688,380.1801312,1224.566069
2063,California Chaparral and Oak Woodlands,,Fire,649.6938,Normal,Iteration and Timestep,336.3127099,313.3810901,986.0065099
2064,California Chaparral and Oak Woodlands,,Fire,843.3149,Normal,Iteration and Timestep,390.5253669,452.7895331,1233.840267
2065,California Chaparral and Oak Woodlands,,Fire,619.6944,Normal,Iteration and Timestep,325.2535256,294.4408744,944.9479256
2066,California Chaparral and Oak Woodlands,,Fire,800.1868,Normal,Iteration and Timestep,380.98566,419.20114,1181.17246
2067,California Chaparral and Oak Woodlands,,Fire,626.1379,Normal,Iteration and Timestep,325.2766473,300.8612527,951.4145473
2068,California Chaparral and Oak Woodlands,,Fire,719.2421,Normal,Iteration and Timestep,353.9672212,365.2748788,1073.209321
2069,California Chaparral and Oak Woodlands,,Fire,620.4766,Normal,Iteration and Timestep,328.4492854,292.0273146,948.9258854
2070,California Chaparral and Oak Woodlands,,Fire,596.37,Normal,Iteration and Timestep,346.8975474,249.4724526,943.2675474
2071,California Chaparral and Oak Woodlands,,Fire,751.3984,Normal,Iteration and Timestep,373.9292008,377.4691992,1125.327601
2072,California Chaparral and Oak Woodlands,,Fire,690.8323,Normal,Iteration and Timestep,303.8060529,387.0262471,994.6383529
2073,California Chaparral and Oak Woodlands,,Fire,607.0476,Normal,Iteration and Timestep,305.2965996,301.7510004,912.3441996
2074,California Chaparral and Oak Woodlands,,Fire,593.067,Normal,Iteration and Timestep,285.6678354,307.3991646,878.7348354
2075,California Chaparral and Oak Woodlands,,Fire,565.9888,Normal,Iteration and Timestep,264.9831318,301.0056682,830.9719318
2076,California Chaparral and Oak Woodlands,,Fire,547.1688,Normal,Iteration and Timestep,275.1481876,272.0206124,822.3169876
2077,California Chaparral and Oak Woodlands,,Fire,675.4718,Normal,Iteration and Timestep,288.731668,386.740132,964.203468
2078,California Chaparral and Oak Woodlands,,Fire,647.3062,Normal,Iteration and Timestep,263.5116455,383.7945545,910.8178455
2079,California Chaparral and Oak Woodlands,,Fire,743.8531,Normal,Iteration and Timestep,344.976841,398.876259,1088.829941
2080,California Chaparral and Oak Woodlands,,Fire,599.6301,Normal,Iteration and Timestep,291.2218766,308.4082234,890.8519766
2081,California Chaparral and Oak Woodlands,,Fire,754.2239,Normal,Iteration and Timestep,348.2171841,406.0067159,1102.441084
2082,California Chaparral and Oak Woodlands,,Fire,805.7273,Normal,Iteration and Timestep,439.874792,365.852508,1245.602092
2083,California Chaparral and Oak Woodlands,,Fire,872.5198,Normal,Iteration and Timestep,408.3166832,464.2031168,1280.836483
2084,California Chaparral and Oak Woodlands,,Fire,706.4886,Normal,Iteration and Timestep,388.0516496,318.4369504,1094.54025
2085,California Chaparral and Oak Woodlands,,Fire,828.6212,Normal,Iteration and Timestep,257.4891074,571.1320926,1086.110307
2086,California Chaparral and Oak Woodlands,,Fire,904.5766,Normal,Iteration and Timestep,407.3327089,497.2438911,1311.909309
2087,California Chaparral and Oak Woodlands,,Fire,690.2931,Normal,Iteration and Timestep,297.6771744,392.6159256,987.9702744
2088,California Chaparral and Oak Woodlands,,Fire,451.3337,Normal,Iteration and Timestep,240.0176277,211.3160723,691.3513277
2089,California Chaparral and Oak Woodlands,,Fire,692.5338,Normal,Iteration and Timestep,366.0350295,326.4987705,1058.56883
2090,California Chaparral and Oak Woodlands,,Fire,702.8757,Normal,Iteration and Timestep,369.9766343,332.8990657,1072.852334
2091,California Chaparral and Oak Woodlands,,Fire,751.734,Normal,Iteration and Timestep,340.0148362,411.7191638,1091.748836
2092,California Chaparral and Oak Woodlands,,Fire,730.5355,Normal,Iteration and Timestep,346.5529129,383.9825871,1077.088413
2093,California Chaparral and Oak Woodlands,,Fire,558.2159,Normal,Iteration and Timestep,293.5933797,264.6225203,851.8092797
