Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,California Chaparral and Oak Woodlands,,Fire,684.3455,Normal,Iteration and Timestep,443.2533978,241.0921022,1127.598898
2018,California Chaparral and Oak Woodlands,,Fire,402.2694,Normal,Iteration and Timestep,282.9679694,119.3014306,685.2373694
2019,California Chaparral and Oak Woodlands,,Fire,812.3173,Normal,Iteration and Timestep,523.3925166,288.9247834,1335.709817
2020,California Chaparral and Oak Woodlands,,Fire,593.0678,Normal,Iteration and Timestep,353.7147031,239.3530969,946.7825031
2021,California Chaparral and Oak Woodlands,,Fire,576.6746,Normal,Iteration and Timestep,402.9986833,173.6759167,979.6732833
2022,California Chaparral and Oak Woodlands,,Fire,843.2095,Normal,Iteration and Timestep,464.6630616,378.5464384,1307.872562
2023,California Chaparral and Oak Woodlands,,Fire,765.2214,Normal,Iteration and Timestep,469.8889071,295.3324929,1235.110307
2024,California Chaparral and Oak Woodlands,,Fire,441.3181,Normal,Iteration and Timestep,328.8866825,112.4314175,770.2047825
2025,California Chaparral and Oak Woodlands,,Fire,723.8004,Normal,Iteration and Timestep,413.0902903,310.7101097,1136.89069
2026,California Chaparral and Oak Woodlands,,Fire,527.2296,Normal,Iteration and Timestep,250.2656947,276.9639053,777.4952947
2027,California Chaparral and Oak Woodlands,,Fire,564.3165,Normal,Iteration and Timestep,315.7116695,248.6048305,880.0281695
2028,California Chaparral and Oak Woodlands,,Fire,702.0293,Normal,Iteration and Timestep,411.653198,290.376102,1113.682498
2029,California Chaparral and Oak Woodlands,,Fire,731.001,Normal,Iteration and Timestep,470.722095,260.278905,1201.723095
2030,California Chaparral and Oak Woodlands,,Fire,723.3279,Normal,Iteration and Timestep,460.8432061,262.4846939,1184.171106
2031,California Chaparral and Oak Woodlands,,Fire,845.8786,Normal,Iteration and Timestep,542.8376833,303.0409167,1388.716283
2032,California Chaparral and Oak Woodlands,,Fire,1181.263,Normal,Iteration and Timestep,692.8993085,488.3636915,1874.162309
2033,California Chaparral and Oak Woodlands,,Fire,730.7604,Normal,Iteration and Timestep,424.2191766,306.5412234,1154.979577
2034,California Chaparral and Oak Woodlands,,Fire,1000.6908,Normal,Iteration and Timestep,561.898479,438.792321,1562.589279
2035,California Chaparral and Oak Woodlands,,Fire,877.5906,Normal,Iteration and Timestep,509.3214608,368.2691392,1386.912061
2036,California Chaparral and Oak Woodlands,,Fire,648.1209,Normal,Iteration and Timestep,515.1925309,132.9283691,1163.313431
2037,California Chaparral and Oak Woodlands,,Fire,853.5533,Normal,Iteration and Timestep,519.1580429,334.3952571,1372.711343
2038,California Chaparral and Oak Woodlands,,Fire,498.768,Normal,Iteration and Timestep,314.9650314,183.8029686,813.7330314
2039,California Chaparral and Oak Woodlands,,Fire,720.8552,Normal,Iteration and Timestep,488.3597919,232.4954081,1209.214992
2040,California Chaparral and Oak Woodlands,,Fire,445.0819,Normal,Iteration and Timestep,224.4486374,220.6332626,669.5305374
2041,California Chaparral and Oak Woodlands,,Fire,696.7971,Normal,Iteration and Timestep,471.7115064,225.0855936,1168.508606
2042,California Chaparral and Oak Woodlands,,Fire,457.1384,Normal,Iteration and Timestep,230.8450844,226.2933156,687.9834844
2043,California Chaparral and Oak Woodlands,,Fire,966.1227,Normal,Iteration and Timestep,493.0489625,473.0737375,1459.171663
2044,California Chaparral and Oak Woodlands,,Fire,731.2679,Normal,Iteration and Timestep,453.3831758,277.8847242,1184.651076
2045,California Chaparral and Oak Woodlands,,Fire,538.5649,Normal,Iteration and Timestep,292.6491034,245.9157966,831.2140034
2046,California Chaparral and Oak Woodlands,,Fire,839.2708,Normal,Iteration and Timestep,427.5598619,411.7109381,1266.830662
2047,California Chaparral and Oak Woodlands,,Fire,792.6044,Normal,Iteration and Timestep,414.2376373,378.3667627,1206.842037
2048,California Chaparral and Oak Woodlands,,Fire,569.8985,Normal,Iteration and Timestep,292.405067,277.493433,862.303567
2049,California Chaparral and Oak Woodlands,,Fire,609.877,Normal,Iteration and Timestep,279.0568441,330.8201559,888.9338441
2050,California Chaparral and Oak Woodlands,,Fire,572.1762,Normal,Iteration and Timestep,368.9026028,203.2735972,941.0788028
2051,California Chaparral and Oak Woodlands,,Fire,475.3508,Normal,Iteration and Timestep,262.5922935,212.7585065,737.9430935
2052,California Chaparral and Oak Woodlands,,Fire,774.1623,Normal,Iteration and Timestep,472.030584,302.131716,1246.192884
2053,California Chaparral and Oak Woodlands,,Fire,715.0666,Normal,Iteration and Timestep,396.0654895,319.0011105,1111.13209
2054,California Chaparral and Oak Woodlands,,Fire,1048.9111,Normal,Iteration and Timestep,621.6480932,427.2630068,1670.559193
2055,California Chaparral and Oak Woodlands,,Fire,858.61,Normal,Iteration and Timestep,537.7496267,320.8603733,1396.359627
2056,California Chaparral and Oak Woodlands,,Fire,1102.0052,Normal,Iteration and Timestep,674.47925,427.52595,1776.48445
2057,California Chaparral and Oak Woodlands,,Fire,1060.7552,Normal,Iteration and Timestep,659.6299986,401.1252014,1720.385199
2058,California Chaparral and Oak Woodlands,,Fire,1178.0415,Normal,Iteration and Timestep,671.6687102,506.3727898,1849.71021
2059,California Chaparral and Oak Woodlands,,Fire,1010.2177,Normal,Iteration and Timestep,593.2542266,416.9634734,1603.471927
2060,California Chaparral and Oak Woodlands,,Fire,1273.3712,Normal,Iteration and Timestep,606.1023396,667.2688604,1879.47354
2061,California Chaparral and Oak Woodlands,,Fire,1115.1057,Normal,Iteration and Timestep,556.4551388,558.6505612,1671.560839
2062,California Chaparral and Oak Woodlands,,Fire,1226.9565,Normal,Iteration and Timestep,623.5640345,603.3924655,1850.520535
2063,California Chaparral and Oak Woodlands,,Fire,1096.4696,Normal,Iteration and Timestep,494.208579,602.261021,1590.678179
2064,California Chaparral and Oak Woodlands,,Fire,683.2959,Normal,Iteration and Timestep,416.5571952,266.7387048,1099.853095
2065,California Chaparral and Oak Woodlands,,Fire,729.7627,Normal,Iteration and Timestep,474.5491546,255.2135454,1204.311855
2066,California Chaparral and Oak Woodlands,,Fire,985.6322,Normal,Iteration and Timestep,523.7344766,461.8977234,1509.366677
2067,California Chaparral and Oak Woodlands,,Fire,765.0943,Normal,Iteration and Timestep,335.4447326,429.6495674,1100.539033
2068,California Chaparral and Oak Woodlands,,Fire,794.1315,Normal,Iteration and Timestep,424.8203599,369.3111401,1218.95186
2069,California Chaparral and Oak Woodlands,,Fire,1039.9196,Normal,Iteration and Timestep,511.8558961,528.0637039,1551.775496
2070,California Chaparral and Oak Woodlands,,Fire,1120.0069,Normal,Iteration and Timestep,602.9209079,517.0859921,1722.927808
2071,California Chaparral and Oak Woodlands,,Fire,1047.7343,Normal,Iteration and Timestep,583.4830718,464.2512282,1631.217372
2072,California Chaparral and Oak Woodlands,,Fire,1492.5535,Normal,Iteration and Timestep,649.5170309,843.0364691,2142.070531
2073,California Chaparral and Oak Woodlands,,Fire,969.7822,Normal,Iteration and Timestep,520.140444,449.641756,1489.922644
2074,California Chaparral and Oak Woodlands,,Fire,1328.1055,Normal,Iteration and Timestep,729.1759472,598.9295528,2057.281447
2075,California Chaparral and Oak Woodlands,,Fire,1367.6588,Normal,Iteration and Timestep,797.9891595,569.6696405,2165.64796
2076,California Chaparral and Oak Woodlands,,Fire,809.6982,Normal,Iteration and Timestep,583.133155,226.565045,1392.831355
2077,California Chaparral and Oak Woodlands,,Fire,781.7182,Normal,Iteration and Timestep,424.0619664,357.6562336,1205.780166
2078,California Chaparral and Oak Woodlands,,Fire,866.0891,Normal,Iteration and Timestep,468.0029973,398.0861027,1334.092097
2079,California Chaparral and Oak Woodlands,,Fire,933.2981,Normal,Iteration and Timestep,485.8207245,447.4773755,1419.118825
2080,California Chaparral and Oak Woodlands,,Fire,958.4729,Normal,Iteration and Timestep,472.4654734,486.0074266,1430.938373
2081,California Chaparral and Oak Woodlands,,Fire,977.8602,Normal,Iteration and Timestep,468.9336253,508.9265747,1446.793825
2082,California Chaparral and Oak Woodlands,,Fire,1078.3586,Normal,Iteration and Timestep,457.243204,621.115396,1535.601804
2083,California Chaparral and Oak Woodlands,,Fire,886.8151,Normal,Iteration and Timestep,363.3661456,523.4489544,1250.181246
2084,California Chaparral and Oak Woodlands,,Fire,1232.5524,Normal,Iteration and Timestep,481.3166855,751.2357145,1713.869086
2085,California Chaparral and Oak Woodlands,,Fire,880.0098,Normal,Iteration and Timestep,472.4811495,407.5286505,1352.49095
2086,California Chaparral and Oak Woodlands,,Fire,1077.2335,Normal,Iteration and Timestep,596.5080302,480.7254698,1673.74153
2087,California Chaparral and Oak Woodlands,,Fire,863.1192,Normal,Iteration and Timestep,518.6862417,344.4329583,1381.805442
2088,California Chaparral and Oak Woodlands,,Fire,1182.6968,Normal,Iteration and Timestep,537.2471401,645.4496599,1719.94394
