Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2061,California Chaparral and Oak Woodlands,,Fire,859.8788,Normal,Iteration and Timestep,482.1805032,377.6982968,1342.059303
2062,California Chaparral and Oak Woodlands,,Fire,1290.889,Normal,Iteration and Timestep,566.5202232,724.3687768,1857.409223
2063,California Chaparral and Oak Woodlands,,Fire,843.5765,Normal,Iteration and Timestep,300.3042201,543.2722799,1143.88072
2064,California Chaparral and Oak Woodlands,,Fire,728.953,Normal,Iteration and Timestep,342.9115504,386.0414496,1071.86455
2065,California Chaparral and Oak Woodlands,,Fire,742.7719,Normal,Iteration and Timestep,334.0834986,408.6884014,1076.855399
2066,California Chaparral and Oak Woodlands,,Fire,457.3745,Normal,Iteration and Timestep,241.1993214,216.1751786,698.5738214
2067,California Chaparral and Oak Woodlands,,Fire,785.939,Normal,Iteration and Timestep,422.618383,363.320617,1208.557383
2068,California Chaparral and Oak Woodlands,,Fire,1127.4452,Normal,Iteration and Timestep,531.7903934,595.6548066,1659.235593
2069,California Chaparral and Oak Woodlands,,Fire,1836.8057,Normal,Iteration and Timestep,721.8270339,1114.978666,2558.632734
2070,California Chaparral and Oak Woodlands,,Fire,1413.495,Normal,Iteration and Timestep,712.1009779,701.3940221,2125.595978
2071,California Chaparral and Oak Woodlands,,Fire,857.8554,Normal,Iteration and Timestep,487.8410216,370.0143784,1345.696422
2072,California Chaparral and Oak Woodlands,,Fire,1040.0647,Normal,Iteration and Timestep,590.5173049,449.5473951,1630.582005
2073,California Chaparral and Oak Woodlands,,Fire,968.7863,Normal,Iteration and Timestep,513.53582,455.25048,1482.32212
2074,California Chaparral and Oak Woodlands,,Fire,876.8154,Normal,Iteration and Timestep,583.5388887,293.2765113,1460.354289
2075,California Chaparral and Oak Woodlands,,Fire,1056.3508,Normal,Iteration and Timestep,493.5239777,562.8268223,1549.874778
2076,California Chaparral and Oak Woodlands,,Fire,611.2554,Normal,Iteration and Timestep,380.3785117,230.8768883,991.6339117
2077,California Chaparral and Oak Woodlands,,Fire,1227.7576,Normal,Iteration and Timestep,536.4365098,691.3210902,1764.19411
2078,California Chaparral and Oak Woodlands,,Fire,1223.5534,Normal,Iteration and Timestep,578.807334,644.746066,1802.360734
2079,California Chaparral and Oak Woodlands,,Fire,871.6657,Normal,Iteration and Timestep,467.9350506,403.7306494,1339.600751
2080,California Chaparral and Oak Woodlands,,Fire,779.6553,Normal,Iteration and Timestep,546.6134995,233.0418005,1326.2688
2081,California Chaparral and Oak Woodlands,,Fire,1129.1043,Normal,Iteration and Timestep,462.3640129,666.7402871,1591.468313
2082,California Chaparral and Oak Woodlands,,Fire,835.505,Normal,Iteration and Timestep,369.2672225,466.2377775,1204.772223
2083,California Chaparral and Oak Woodlands,,Fire,740.6595,Normal,Iteration and Timestep,288.091406,452.568094,1028.750906
2084,California Chaparral and Oak Woodlands,,Fire,721.7185,Normal,Iteration and Timestep,327.7325308,393.9859692,1049.451031
2085,California Chaparral and Oak Woodlands,,Fire,762.1293,Normal,Iteration and Timestep,328.787634,433.341666,1090.916934
2086,California Chaparral and Oak Woodlands,,Fire,971.0514,Normal,Iteration and Timestep,489.301508,481.749892,1460.352908
2087,California Chaparral and Oak Woodlands,,Fire,1337.9025,Normal,Iteration and Timestep,560.2335755,777.6689245,1898.136076
2088,California Chaparral and Oak Woodlands,,Fire,1112.9784,Normal,Iteration and Timestep,590.0897295,522.8886705,1703.06813
2089,California Chaparral and Oak Woodlands,,Fire,1161.4736,Normal,Iteration and Timestep,562.0589038,599.4146962,1723.532504
2090,California Chaparral and Oak Woodlands,,Fire,1244.9233,Normal,Iteration and Timestep,606.1497466,638.7735534,1851.073047
2091,California Chaparral and Oak Woodlands,,Fire,667.2063,Normal,Iteration and Timestep,369.4932996,297.7130004,1036.6996
2092,California Chaparral and Oak Woodlands,,Fire,1000.2405,Normal,Iteration and Timestep,461.5213509,538.7191491,1461.761851
2093,California Chaparral and Oak Woodlands,,Fire,1199.6145,Normal,Iteration and Timestep,441.3938974,758.2206026,1641.008397
2094,California Chaparral and Oak Woodlands,,Fire,1344.876,Normal,Iteration and Timestep,483.3597628,861.5162372,1828.235763
2095,California Chaparral and Oak Woodlands,,Fire,676.6433,Normal,Iteration and Timestep,289.021283,387.622017,965.664583
2096,California Chaparral and Oak Woodlands,,Fire,1661.8497,Normal,Iteration and Timestep,539.3668088,1122.482891,2201.216509
2097,California Chaparral and Oak Woodlands,,Fire,1115.9115,Normal,Iteration and Timestep,434.7877412,681.1237588,1550.699241
2098,California Chaparral and Oak Woodlands,,Fire,1687.6438,Normal,Iteration and Timestep,557.030353,1130.613447,2244.674153
2099,California Chaparral and Oak Woodlands,,Fire,1386.4867,Normal,Iteration and Timestep,646.2924455,740.1942545,2032.779146
2017,Cascades,,Fire,37.0853,Normal,Iteration and Timestep,50.67673204,0,87.76203204
2018,Cascades,,Fire,3.6547,Normal,Iteration and Timestep,17.76989126,0,21.42459126
2019,Cascades,,Fire,3.9847,Normal,Iteration and Timestep,16.5359281,0,20.5206281
2020,Cascades,,Fire,2.8345,Normal,Iteration and Timestep,7.07858306,0,9.91308306
2021,Cascades,,Fire,2.5191,Normal,Iteration and Timestep,8.708590916,0,11.22769092
2022,Cascades,,Fire,2.4417,Normal,Iteration and Timestep,10.3670644,0,12.8087644
2023,Cascades,,Fire,2.6476,Normal,Iteration and Timestep,9.258915673,0,11.90651567
2024,Cascades,,Fire,2.1865,Normal,Iteration and Timestep,13.09425338,0,15.28075338
2025,Cascades,,Fire,30.0859,Normal,Iteration and Timestep,78.75791359,0,108.8438136
2026,Cascades,,Fire,6.9009,Normal,Iteration and Timestep,24.29208484,0,31.19298484
2027,Cascades,,Fire,4.1973,Normal,Iteration and Timestep,14.99210566,0,19.18940566
2028,Cascades,,Fire,3.0667,Normal,Iteration and Timestep,12.21306893,0,15.27976893
2029,Cascades,,Fire,11.8019,Normal,Iteration and Timestep,98.50022153,0,110.3021215
2030,Cascades,,Fire,8.1847,Normal,Iteration and Timestep,38.40368313,0,46.58838313
2031,Cascades,,Fire,4.5699,Normal,Iteration and Timestep,26.32389898,0,30.89379898
2032,Cascades,,Fire,1.992,Normal,Iteration and Timestep,6.153796069,0,8.145796069
2033,Cascades,,Fire,6.7416,Normal,Iteration and Timestep,33.2703286,0,40.0119286
2034,Cascades,,Fire,2.1496,Normal,Iteration and Timestep,8.826611384,0,10.97621138
2035,Cascades,,Fire,7.467,Normal,Iteration and Timestep,43.01149869,0,50.47849869
2036,Cascades,,Fire,30.6745,Normal,Iteration and Timestep,114.6116063,0,145.2861063
2037,Cascades,,Fire,5.6112,Normal,Iteration and Timestep,21.21425194,0,26.82545194
2038,Cascades,,Fire,20.0788,Normal,Iteration and Timestep,64.41443442,0,84.49323442
2039,Cascades,,Fire,2.6452,Normal,Iteration and Timestep,9.179338732,0,11.82453873
2040,Cascades,,Fire,8.1923,Normal,Iteration and Timestep,29.28853666,0,37.48083666
2041,Cascades,,Fire,3.1988,Normal,Iteration and Timestep,9.163311924,0,12.36211192
2042,Cascades,,Fire,4.0305,Normal,Iteration and Timestep,11.55863474,0,15.58913474
2043,Cascades,,Fire,3.9533,Normal,Iteration and Timestep,21.69605308,0,25.64935308
2044,Cascades,,Fire,26.5532,Normal,Iteration and Timestep,66.93889193,0,93.49209193
2045,Cascades,,Fire,6.3003,Normal,Iteration and Timestep,25.45430973,0,31.75460973
2046,Cascades,,Fire,3.6673,Normal,Iteration and Timestep,13.53887137,0,17.20617137
2047,Cascades,,Fire,8.5253,Normal,Iteration and Timestep,19.20457408,0,27.72987408
2048,Cascades,,Fire,2.7394,Normal,Iteration and Timestep,9.196028218,0,11.93542822
2049,Cascades,,Fire,29.2091,Normal,Iteration and Timestep,65.76458695,0,94.97368695
2050,Cascades,,Fire,10.8056,Normal,Iteration and Timestep,30.62947707,0,41.43507707
2051,Cascades,,Fire,8.3271,Normal,Iteration and Timestep,20.58737376,0,28.91447376
2052,Cascades,,Fire,1.5097,Normal,Iteration and Timestep,8.079803785,0,9.589503785
2053,Cascades,,Fire,9.3564,Normal,Iteration and Timestep,22.64849858,0,32.00489858
2054,Cascades,,Fire,2.1256,Normal,Iteration and Timestep,7.96276782,0,10.08836782
2055,Cascades,,Fire,10.7299,Normal,Iteration and Timestep,24.60134798,0,35.33124798
2056,Cascades,,Fire,4.3106,Normal,Iteration and Timestep,19.57741643,0,23.88801643
2057,Cascades,,Fire,20.687,Normal,Iteration and Timestep,65.34658127,0,86.03358127
2058,Cascades,,Fire,8.2595,Normal,Iteration and Timestep,55.83331168,0,64.09281168
2059,Cascades,,Fire,3.8405,Normal,Iteration and Timestep,17.66932544,0,21.50982544
2060,Cascades,,Fire,3.51,Normal,Iteration and Timestep,11.22321773,0,14.73321773
2061,Cascades,,Fire,8.5756,Normal,Iteration and Timestep,30.84030065,0,39.41590065
2062,Cascades,,Fire,24.0274,Normal,Iteration and Timestep,60.01848482,0,84.04588482
2063,Cascades,,Fire,9.0735,Normal,Iteration and Timestep,48.93630611,0,58.00980611
2064,Cascades,,Fire,3.3541,Normal,Iteration and Timestep,15.63726113,0,18.99136113
2065,Cascades,,Fire,40.4369,Normal,Iteration and Timestep,91.65725265,0,132.0941527
2066,Cascades,,Fire,0.8941,Normal,Iteration and Timestep,5.073650509,0,5.967750509
2067,Cascades,,Fire,2.0935,Normal,Iteration and Timestep,6.769005921,0,8.862505921
2068,Cascades,,Fire,7.7174,Normal,Iteration and Timestep,19.49055309,0,27.20795309
2069,Cascades,,Fire,29.6416,Normal,Iteration and Timestep,53.98419121,0,83.62579121
2070,Cascades,,Fire,25.9438,Normal,Iteration and Timestep,81.40085205,0,107.3446521
2071,Cascades,,Fire,5.2954,Normal,Iteration and Timestep,35.05164258,0,40.34704258
2072,Cascades,,Fire,8.7347,Normal,Iteration and Timestep,28.88725053,0,37.62195053
2073,Cascades,,Fire,7.1848,Normal,Iteration and Timestep,26.18829947,0,33.37309947
2074,Cascades,,Fire,15.7976,Normal,Iteration and Timestep,73.80124603,0,89.59884603
2075,Cascades,,Fire,9.0995,Normal,Iteration and Timestep,32.90094289,0,42.00044289
2076,Cascades,,Fire,1.2295,Normal,Iteration and Timestep,4.041763635,0,5.271263635
2077,Cascades,,Fire,4.7919,Normal,Iteration and Timestep,19.86016915,0,24.65206915
2078,Cascades,,Fire,12.0808,Normal,Iteration and Timestep,30.55562114,0,42.63642114
2079,Cascades,,Fire,3.2892,Normal,Iteration and Timestep,7.675658716,0,10.96485872
2080,Cascades,,Fire,7.5978,Normal,Iteration and Timestep,36.17638008,0,43.77418008
2081,Cascades,,Fire,30.948,Normal,Iteration and Timestep,67.49608056,0,98.44408056
2082,Cascades,,Fire,5.7916,Normal,Iteration and Timestep,24.29983351,0,30.09143351
2083,Cascades,,Fire,5.5708,Normal,Iteration and Timestep,18.72139227,0,24.29219227
2084,Cascades,,Fire,9.4196,Normal,Iteration and Timestep,46.40192897,0,55.82152897
2085,Cascades,,Fire,6.2464,Normal,Iteration and Timestep,29.31887314,0,35.56527314
2086,Cascades,,Fire,16.3738,Normal,Iteration and Timestep,51.35146635,0,67.72526635
2087,Cascades,,Fire,21.143,Normal,Iteration and Timestep,45.08653284,0,66.22953284
2088,Cascades,,Fire,20.9299,Normal,Iteration and Timestep,51.89327845,0,72.82317845
2089,Cascades,,Fire,28.4962,Normal,Iteration and Timestep,76.66947313,0,105.1656731
2090,Cascades,,Fire,5.5401,Normal,Iteration and Timestep,19.5848672,0,25.1249672
2091,Cascades,,Fire,10.3261,Normal,Iteration and Timestep,48.51222428,0,58.83832428
2092,Cascades,,Fire,11.921,Normal,Iteration and Timestep,31.85546781,0,43.77646781
2093,Cascades,,Fire,28.5094,Normal,Iteration and Timestep,63.27963913,0,91.78903913
2094,Cascades,,Fire,72.2366,Normal,Iteration and Timestep,105.2540463,0,177.4906463
2095,Cascades,,Fire,10.7438,Normal,Iteration and Timestep,36.12475135,0,46.86855135
2096,Cascades,,Fire,45.7177,Normal,Iteration and Timestep,72.12780622,0,117.8455062
2097,Cascades,,Fire,9.2681,Normal,Iteration and Timestep,31.01188803,0,40.27998803
2098,Cascades,,Fire,11.661,Normal,Iteration and Timestep,34.50506722,0,46.16606722
2099,Cascades,,Fire,59.643,Normal,Iteration and Timestep,97.71262765,0,157.3556277
2017,Central Basin and Range,,Fire,8.4501,Normal,Iteration and Timestep,15.61055474,0,24.06065474
2018,Central Basin and Range,,Fire,21.0991,Normal,Iteration and Timestep,46.81284416,0,67.91194416
2019,Central Basin and Range,,Fire,15.8736,Normal,Iteration and Timestep,32.97693315,0,48.85053315
2020,Central Basin and Range,,Fire,14.379,Normal,Iteration and Timestep,23.22076916,0,37.59976916
2021,Central Basin and Range,,Fire,16.3859,Normal,Iteration and Timestep,43.7351088,0,60.1210088
2022,Central Basin and Range,,Fire,10.1259,Normal,Iteration and Timestep,23.47425678,0,33.60015678
2023,Central Basin and Range,,Fire,20.6396,Normal,Iteration and Timestep,63.16359847,0,83.80319847
2024,Central Basin and Range,,Fire,40.2892,Normal,Iteration and Timestep,61.17840298,0,101.467603
2025,Central Basin and Range,,Fire,13.3738,Normal,Iteration and Timestep,21.45318925,0,34.82698925
2026,Central Basin and Range,,Fire,26.4994,Normal,Iteration and Timestep,67.43723287,0,93.93663287
2027,Central Basin and Range,,Fire,36.5005,Normal,Iteration and Timestep,118.622561,0,155.123061
2028,Central Basin and Range,,Fire,43.874,Normal,Iteration and Timestep,96.22791516,0,140.1019152
2029,Central Basin and Range,,Fire,55.6783,Normal,Iteration and Timestep,151.3470054,0,207.0253054
2030,Central Basin and Range,,Fire,30.2368,Normal,Iteration and Timestep,61.10590657,0,91.34270657
2031,Central Basin and Range,,Fire,8.2956,Normal,Iteration and Timestep,15.43185897,0,23.72745897
2032,Central Basin and Range,,Fire,12.9938,Normal,Iteration and Timestep,26.5393411,0,39.5331411
2033,Central Basin and Range,,Fire,14.809,Normal,Iteration and Timestep,23.31525098,0,38.12425098
2034,Central Basin and Range,,Fire,24.0626,Normal,Iteration and Timestep,57.07822625,0,81.14082625
2035,Central Basin and Range,,Fire,19.3539,Normal,Iteration and Timestep,30.84969138,0,50.20359138
2036,Central Basin and Range,,Fire,11.7525,Normal,Iteration and Timestep,27.65497779,0,39.40747779
2037,Central Basin and Range,,Fire,14.1963,Normal,Iteration and Timestep,35.47429195,0,49.67059195
2038,Central Basin and Range,,Fire,9.6669,Normal,Iteration and Timestep,15.67474587,0,25.34164587
2039,Central Basin and Range,,Fire,13.6114,Normal,Iteration and Timestep,20.25132384,0,33.86272384
2040,Central Basin and Range,,Fire,14.0349,Normal,Iteration and Timestep,23.3978026,0,37.4327026
2041,Central Basin and Range,,Fire,12.147,Normal,Iteration and Timestep,18.50828018,0,30.65528018
2042,Central Basin and Range,,Fire,21.5531,Normal,Iteration and Timestep,33.04257271,0,54.59567271
2043,Central Basin and Range,,Fire,20.5616,Normal,Iteration and Timestep,31.2483284,0,51.8099284
2044,Central Basin and Range,,Fire,25.8165,Normal,Iteration and Timestep,60.19168217,0,86.00818217
2045,Central Basin and Range,,Fire,27.794,Normal,Iteration and Timestep,124.0098481,0,151.8038481
2046,Central Basin and Range,,Fire,25.071,Normal,Iteration and Timestep,60.10507442,0,85.17607442
2047,Central Basin and Range,,Fire,23.6535,Normal,Iteration and Timestep,56.19320544,0,79.84670544
2048,Central Basin and Range,,Fire,12.2011,Normal,Iteration and Timestep,23.27266007,0,35.47376007
2049,Central Basin and Range,,Fire,16.0771,Normal,Iteration and Timestep,27.67133207,0,43.74843207
2050,Central Basin and Range,,Fire,11.8473,Normal,Iteration and Timestep,24.71784056,0,36.56514056
2051,Central Basin and Range,,Fire,12.7049,Normal,Iteration and Timestep,27.13355452,0,39.83845452
2052,Central Basin and Range,,Fire,12.2597,Normal,Iteration and Timestep,17.97593444,0,30.23563444
2053,Central Basin and Range,,Fire,13.2461,Normal,Iteration and Timestep,19.02032267,0,32.26642267
2054,Central Basin and Range,,Fire,12.7568,Normal,Iteration and Timestep,17.42926361,0,30.18606361
2055,Central Basin and Range,,Fire,8.2694,Normal,Iteration and Timestep,17.40543569,0,25.67483569
2056,Central Basin and Range,,Fire,18.5781,Normal,Iteration and Timestep,38.1314177,0,56.7095177
2057,Central Basin and Range,,Fire,20.9296,Normal,Iteration and Timestep,49.37165446,0,70.30125446
2058,Central Basin and Range,,Fire,20.1859,Normal,Iteration and Timestep,48.92153328,0,69.10743328
