Timestep,StratumID,TransitionGroupID,Amount
2017,Central Basin and Range,Fire: Medium Severity [Type],0.394594128440367
2017,Central California Valley,Fire: Medium Severity [Type],0.20091019148936173
2017,Coast Range,Fire: Medium Severity [Type],0.30762548356807506
2017,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.36050427272727276
2017,Klamath Mountains,Fire: Medium Severity [Type],0.391314
2017,Mojave Basin and Range,Fire: Medium Severity [Type],0.2931987331223629
2017,Northern Basin and Range,Fire: Medium Severity [Type],0.31259121680497925
2017,Sierra Nevada,Fire: Medium Severity [Type],0.4127379949044586
2017,Sonoran Basin and Range,Fire: Medium Severity [Type],0.2828577416934619
2017,Southern California Mountains,Fire: Medium Severity [Type],0.4330088222811671
2017,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.39825755696202536
2017,Cascades,Fire: Low Severity [Type],0.684
2017,Central Basin and Range,Fire: Low Severity [Type],0.47650987155963304
2017,Central California Valley,Fire: Low Severity [Type],0.7386698085106382
2017,Coast Range,Fire: Low Severity [Type],0.5433385164319249
2017,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.47434772727272734
2017,Klamath Mountains,Fire: Low Severity [Type],0.4072859999999999
2017,Mojave Basin and Range,Fire: Low Severity [Type],0.6554442668776372
2017,Northern Basin and Range,Fire: Low Severity [Type],0.6501497831950208
2017,Sierra Nevada,Fire: Low Severity [Type],0.37176400509554147
2017,Sonoran Basin and Range,Fire: Low Severity [Type],0.649673258306538
2017,Southern California Mountains,Fire: Low Severity [Type],0.3192691777188329
2018,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.21220499999999998
2018,Cascades,Fire: High Severity [Type],0
2018,Central Basin and Range,Fire: High Severity [Type],0.129344
2018,Central California Valley,Fire: High Severity [Type],0.060629999999999996
2018,Coast Range,Fire: High Severity [Type],0.149554
2018,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.165722
2018,Klamath Mountains,Fire: High Severity [Type],0.2021
2018,Mojave Basin and Range,Fire: High Severity [Type],0.05153549999999999
2018,Northern Basin and Range,Fire: High Severity [Type],0.0373885
2018,Sierra Nevada,Fire: High Severity [Type],0.216247
2018,Sonoran Basin and Range,Fire: High Severity [Type],0.0677035
2018,Southern California Mountains,Fire: High Severity [Type],0.248583
2018,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.389908664556962
2018,Cascades,Fire: Medium Severity [Type],0.316
2018,Central Basin and Range,Fire: Medium Severity [Type],0.3943911926605505
2018,Central California Valley,Fire: Medium Severity [Type],0.2008652872340426
2018,Coast Range,Fire: Medium Severity [Type],0.3074382253521126
2018,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.36025640909090906
2018,Klamath Mountains,Fire: Medium Severity [Type],0.390971
2018,Mojave Basin and Range,Fire: Medium Severity [Type],0.29314356381856543
2018,Northern Basin and Range,Fire: Medium Severity [Type],0.31254916960580914
2018,Sierra Nevada,Fire: Medium Severity [Type],0.41234393503184713
2018,Sonoran Basin and Range,Fire: Medium Severity [Type],0.28278661254019283
2018,Southern California Mountains,Fire: Medium Severity [Type],0.43251323342175063
2018,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.39788633544303803
2018,Cascades,Fire: Low Severity [Type],0.684
2018,Central Basin and Range,Fire: Low Severity [Type],0.47626480733944954
2018,Central California Valley,Fire: Low Severity [Type],0.7385047127659575
2018,Coast Range,Fire: Low Severity [Type],0.5430077746478873
2018,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.4740215909090909
2018,Klamath Mountains,Fire: Low Severity [Type],0.40692899999999993
2018,Mojave Basin and Range,Fire: Low Severity [Type],0.6553209361814347
2018,Northern Basin and Range,Fire: Low Severity [Type],0.6500623303941909
2018,Sierra Nevada,Fire: Low Severity [Type],0.37140906496815296
2018,Sonoran Basin and Range,Fire: Low Severity [Type],0.649509887459807
2018,Southern California Mountains,Fire: Low Severity [Type],0.31890376657824937
2019,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.21294
2019,Cascades,Fire: High Severity [Type],0
2019,Central Basin and Range,Fire: High Severity [Type],0.129792
2019,Central California Valley,Fire: High Severity [Type],0.06084
2019,Coast Range,Fire: High Severity [Type],0.15007199999999998
2019,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.166296
2019,Klamath Mountains,Fire: High Severity [Type],0.2028
2019,Mojave Basin and Range,Fire: High Severity [Type],0.051713999999999996
2019,Northern Basin and Range,Fire: High Severity [Type],0.037517999999999996
2019,Sierra Nevada,Fire: High Severity [Type],0.216996
2019,Sonoran Basin and Range,Fire: High Severity [Type],0.067938
2019,Southern California Mountains,Fire: High Severity [Type],0.249444
2019,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.38954488607594934
2019,Cascades,Fire: Medium Severity [Type],0.316
2019,Central Basin and Range,Fire: Medium Severity [Type],0.39418825688073394
2019,Central California Valley,Fire: Medium Severity [Type],0.20082038297872343
2019,Coast Range,Fire: Medium Severity [Type],0.3072509671361502
2019,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.36000854545454547
2019,Klamath Mountains,Fire: Medium Severity [Type],0.390628
2019,Mojave Basin and Range,Fire: Medium Severity [Type],0.2930883945147679
2019,Northern Basin and Range,Fire: Medium Severity [Type],0.312507122406639
2019,Sierra Nevada,Fire: Medium Severity [Type],0.4119498751592357
2019,Sonoran Basin and Range,Fire: Medium Severity [Type],0.2827154833869238
2019,Southern California Mountains,Fire: Medium Severity [Type],0.4320176445623342
2019,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.39751511392405064
2019,Cascades,Fire: Low Severity [Type],0.684
2019,Central Basin and Range,Fire: Low Severity [Type],0.4760197431192661
2019,Central California Valley,Fire: Low Severity [Type],0.7383396170212766
2019,Coast Range,Fire: Low Severity [Type],0.5426770328638498
2019,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.4736954545454546
2019,Klamath Mountains,Fire: Low Severity [Type],0.40657199999999993
2019,Mojave Basin and Range,Fire: Low Severity [Type],0.6551976054852321
2019,Northern Basin and Range,Fire: Low Severity [Type],0.649974877593361
2019,Sierra Nevada,Fire: Low Severity [Type],0.3710541248407644
2019,Sonoran Basin and Range,Fire: Low Severity [Type],0.6493465166130761
2019,Southern California Mountains,Fire: Low Severity [Type],0.3185383554376658
2020,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.213675
2020,Cascades,Fire: High Severity [Type],0
2020,Central Basin and Range,Fire: High Severity [Type],0.13024000000000002
2020,Central California Valley,Fire: High Severity [Type],0.06105
2020,Coast Range,Fire: High Severity [Type],0.15059
2020,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.16687000000000002
2020,Klamath Mountains,Fire: High Severity [Type],0.20350000000000001
2020,Mojave Basin and Range,Fire: High Severity [Type],0.0518925
2020,Northern Basin and Range,Fire: High Severity [Type],0.0376475
2020,Sierra Nevada,Fire: High Severity [Type],0.21774500000000002
2020,Sonoran Basin and Range,Fire: High Severity [Type],0.06817250000000001
2020,Southern California Mountains,Fire: High Severity [Type],0.250305
2020,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.3891811075949367
2020,Cascades,Fire: Medium Severity [Type],0.316
2020,Central Basin and Range,Fire: Medium Severity [Type],0.39398532110091744
2020,Central California Valley,Fire: Medium Severity [Type],0.20077547872340426
2020,Coast Range,Fire: Medium Severity [Type],0.30706370892018775
2020,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.35976068181818177
2020,Klamath Mountains,Fire: Medium Severity [Type],0.390285
2020,Mojave Basin and Range,Fire: Medium Severity [Type],0.29303322521097047
2020,Northern Basin and Range,Fire: Medium Severity [Type],0.31246507520746886
2020,Sierra Nevada,Fire: Medium Severity [Type],0.41155581528662416
2020,Sonoran Basin and Range,Fire: Medium Severity [Type],0.2826443542336548
2020,Southern California Mountains,Fire: Medium Severity [Type],0.43152205570291774
2020,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.39714389240506326
2020,Cascades,Fire: Low Severity [Type],0.684
2020,Central Basin and Range,Fire: Low Severity [Type],0.4757746788990826
2020,Central California Valley,Fire: Low Severity [Type],0.7381745212765957
2020,Coast Range,Fire: Low Severity [Type],0.5423462910798122
2020,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.47336931818181816
2020,Klamath Mountains,Fire: Low Severity [Type],0.40621499999999994
2020,Mojave Basin and Range,Fire: Low Severity [Type],0.6550742747890296
2020,Northern Basin and Range,Fire: Low Severity [Type],0.6498874247925311
2020,Sierra Nevada,Fire: Low Severity [Type],0.3706991847133758
2020,Sonoran Basin and Range,Fire: Low Severity [Type],0.6491831457663451
2020,Southern California Mountains,Fire: Low Severity [Type],0.31817294429708226
2021,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.21440999999999996
2021,Cascades,Fire: High Severity [Type],0
2021,Central Basin and Range,Fire: High Severity [Type],0.130688
2021,Central California Valley,Fire: High Severity [Type],0.061259999999999995
2021,Coast Range,Fire: High Severity [Type],0.151108
2021,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.16744399999999998
2021,Klamath Mountains,Fire: High Severity [Type],0.2042
2021,Mojave Basin and Range,Fire: High Severity [Type],0.05207099999999999
2021,Northern Basin and Range,Fire: High Severity [Type],0.037777
2021,Sierra Nevada,Fire: High Severity [Type],0.21849399999999997
