"TransitionGroupID","Timestep","Amount","StratumID"
"Fire: Low Severity [Type]","2040",0.993919588424437,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2041",1.0882,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2041",0.993666237942122,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2041",0.993666237942122,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2042",1.091728,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2042",0.993412887459807,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2042",0.993412887459807,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2043",1.095256,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2043",0.993159536977492,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2043",0.993159536977492,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2044",1.098784,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2044",0.992906186495177,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2044",0.992906186495177,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2045",1.102312,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2045",0.992652836012862,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2045",0.992652836012862,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2046",1.10584,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2046",0.992399485530546,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2046",0.992399485530547,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2047",1.109368,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2047",0.992146135048231,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2047",0.992146135048231,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2048",1.112896,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2048",0.991892784565916,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2048",0.991892784565916,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2049",1.116424,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2049",0.991639434083601,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2049",0.991639434083601,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2050",1.119952,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2050",0.991386083601286,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2050",0.991386083601286,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2051",1.12348,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2051",0.991132733118971,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2051",0.991132733118971,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2052",1.127008,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2052",0.990879382636656,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2052",0.990879382636656,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2053",1.130536,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2053",0.990626032154341,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2053",0.990626032154341,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2054",1.134064,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2054",0.990372681672026,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2054",0.990372681672026,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2055",1.137592,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2055",0.990119331189711,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2055",0.990119331189711,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2056",1.14112,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2056",0.989865980707395,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2056",0.989865980707396,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2057",1.144648,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2057",0.98961263022508,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2057",0.98961263022508,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2058",1.148176,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2058",0.989359279742765,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2058",0.989359279742765,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2059",1.151704,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2059",0.98910592926045,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2059",0.98910592926045,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2060",1.155232,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2060",0.988852578778135,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2060",0.988852578778135,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2061",1.15876,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2061",0.98859922829582,"Sonoran Basin and Range"
