Timestep,StratumID,TransitionGroupID,Amount
2017,Central California Valley,Fire: Medium Severity [Type],0.20078959148936174
2017,Coast Range,Fire: Medium Severity [Type],0.3071225615023474
2017,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.35983858181818185
2017,Klamath Mountains,Fire: Medium Severity [Type],0.3903928
2017,Mojave Basin and Range,Fire: Medium Severity [Type],0.2930505641350211
2017,Northern Basin and Range,Fire: Medium Severity [Type],0.31247829004149374
2017,Sierra Nevada,Fire: Medium Severity [Type],0.41167966267515926
2017,Sonoran Basin and Range,Fire: Medium Severity [Type],0.2826667091103965
2017,Southern California Mountains,Fire: Medium Severity [Type],0.4316778122015915
2017,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.3972605620253165
2017,Cascades,Fire: Low Severity [Type],0.684
2017,Central Basin and Range,Fire: Low Severity [Type],0.47585169908256886
2017,Central California Valley,Fire: Low Severity [Type],0.7382264085106383
2017,Coast Range,Fire: Low Severity [Type],0.5424502384976526
2017,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.4734718181818182
2017,Klamath Mountains,Fire: Low Severity [Type],0.4063271999999999
2017,Mojave Basin and Range,Fire: Low Severity [Type],0.6551130358649789
2017,Northern Basin and Range,Fire: Low Severity [Type],0.6499149099585062
2017,Sierra Nevada,Fire: Low Severity [Type],0.3708107373248408
2017,Sonoran Basin and Range,Fire: Low Severity [Type],0.6492344908896034
2017,Southern California Mountains,Fire: Low Severity [Type],0.3182877877984085
2018,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.215166
2018,Cascades,Fire: High Severity [Type],0
2018,Central Basin and Range,Fire: High Severity [Type],0.1311488
2018,Central California Valley,Fire: High Severity [Type],0.061475999999999996
2018,Coast Range,Fire: High Severity [Type],0.1516408
2018,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.1680344
2018,Klamath Mountains,Fire: High Severity [Type],0.20492
2018,Mojave Basin and Range,Fire: High Severity [Type],0.05225459999999999
2018,Northern Basin and Range,Fire: High Severity [Type],0.0379102
2018,Sierra Nevada,Fire: High Severity [Type],0.2192644
2018,Sonoran Basin and Range,Fire: High Severity [Type],0.0686482
2018,Southern California Mountains,Fire: High Severity [Type],0.2520516
2018,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.3884431569620253
2018,Cascades,Fire: Medium Severity [Type],0.316
2018,Central Basin and Range,Fire: Medium Severity [Type],0.3935736513761468
2018,Central California Valley,Fire: Medium Severity [Type],0.20068438723404258
2018,Coast Range,Fire: Medium Severity [Type],0.3066838422535211
2018,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.3592578727272727
2018,Klamath Mountains,Fire: Medium Severity [Type],0.3895892
2018,Mojave Basin and Range,Fire: Medium Severity [Type],0.29292131033755275
2018,Northern Basin and Range,Fire: Medium Severity [Type],0.31237977946058093
2018,Sierra Nevada,Fire: Medium Severity [Type],0.4107564366878981
2018,Sonoran Basin and Range,Fire: Medium Severity [Type],0.28250006366559477
2018,Southern California Mountains,Fire: Medium Severity [Type],0.4305167183023873
2018,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.3963908430379747
2018,Cascades,Fire: Low Severity [Type],0.684
2018,Central Basin and Range,Fire: Low Severity [Type],0.4752775486238532
2018,Central California Valley,Fire: Low Severity [Type],0.7378396127659574
2018,Coast Range,Fire: Low Severity [Type],0.5416753577464789
2018,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.4727077272727273
2018,Klamath Mountains,Fire: Low Severity [Type],0.40549079999999993
2018,Mojave Basin and Range,Fire: Low Severity [Type],0.6548240896624473
2018,Northern Basin and Range,Fire: Low Severity [Type],0.6497100205394192
2018,Sierra Nevada,Fire: Low Severity [Type],0.36997916331210196
2018,Sonoran Basin and Range,Fire: Low Severity [Type],0.6488517363344051
2018,Southern California Mountains,Fire: Low Severity [Type],0.31743168169761277
2019,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.21688799999999997
2019,Cascades,Fire: High Severity [Type],0
2019,Central Basin and Range,Fire: High Severity [Type],0.1321984
2019,Central California Valley,Fire: High Severity [Type],0.061967999999999995
2019,Coast Range,Fire: High Severity [Type],0.15285439999999997
2019,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.1693792
2019,Klamath Mountains,Fire: High Severity [Type],0.20656
2019,Mojave Basin and Range,Fire: High Severity [Type],0.05267279999999999
2019,Northern Basin and Range,Fire: High Severity [Type],0.03821359999999999
2019,Sierra Nevada,Fire: High Severity [Type],0.22101919999999997
2019,Sonoran Basin and Range,Fire: High Severity [Type],0.0691976
2019,Southern California Mountains,Fire: High Severity [Type],0.2540688
2019,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.3875908759493671
2019,Cascades,Fire: Medium Severity [Type],0.316
2019,Central Basin and Range,Fire: Medium Severity [Type],0.3930982018348624
2019,Central California Valley,Fire: Medium Severity [Type],0.20057918297872343
2019,Coast Range,Fire: Medium Severity [Type],0.3062451230046948
2019,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.3586771636363636
2019,Klamath Mountains,Fire: Medium Severity [Type],0.3887856
2019,Mojave Basin and Range,Fire: Medium Severity [Type],0.2927920565400844
2019,Northern Basin and Range,Fire: Medium Severity [Type],0.31228126887966806
2019,Sierra Nevada,Fire: Medium Severity [Type],0.40983321070063694
2019,Sonoran Basin and Range,Fire: Medium Severity [Type],0.2823334182207931
2019,Southern California Mountains,Fire: Medium Severity [Type],0.42935562440318303
2019,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.39552112405063294
2019,Cascades,Fire: Low Severity [Type],0.684
2019,Central Basin and Range,Fire: Low Severity [Type],0.4747033981651376
2019,Central California Valley,Fire: Low Severity [Type],0.7374528170212766
2019,Coast Range,Fire: Low Severity [Type],0.5409004769953052
2019,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.47194363636363634
2019,Klamath Mountains,Fire: Low Severity [Type],0.4046543999999999
2019,Mojave Basin and Range,Fire: Low Severity [Type],0.6545351434599157
2019,Northern Basin and Range,Fire: Low Severity [Type],0.649505131120332
2019,Sierra Nevada,Fire: Low Severity [Type],0.36914758929936314
2019,Sonoran Basin and Range,Fire: Low Severity [Type],0.6484689817792069
2019,Southern California Mountains,Fire: Low Severity [Type],0.316575575596817
2020,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.21860999999999997
2020,Cascades,Fire: High Severity [Type],0
2020,Central Basin and Range,Fire: High Severity [Type],0.133248
2020,Central California Valley,Fire: High Severity [Type],0.062459999999999995
2020,Coast Range,Fire: High Severity [Type],0.15406799999999998
2020,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.170724
2020,Klamath Mountains,Fire: High Severity [Type],0.2082
2020,Mojave Basin and Range,Fire: High Severity [Type],0.05309099999999999
2020,Northern Basin and Range,Fire: High Severity [Type],0.038516999999999996
2020,Sierra Nevada,Fire: High Severity [Type],0.22277399999999997
2020,Sonoran Basin and Range,Fire: High Severity [Type],0.069747
2020,Southern California Mountains,Fire: High Severity [Type],0.256086
2020,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.38673859493670887
2020,Cascades,Fire: Medium Severity [Type],0.316
2020,Central Basin and Range,Fire: Medium Severity [Type],0.392622752293578
2020,Central California Valley,Fire: Medium Severity [Type],0.2004739787234043
2020,Coast Range,Fire: Medium Severity [Type],0.3058064037558685
2020,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.3580964545454546
2020,Klamath Mountains,Fire: Medium Severity [Type],0.38798200000000005
2020,Mojave Basin and Range,Fire: Medium Severity [Type],0.292662802742616
2020,Northern Basin and Range,Fire: Medium Severity [Type],0.3121827582987552
2020,Sierra Nevada,Fire: Medium Severity [Type],0.40890998471337575
2020,Sonoran Basin and Range,Fire: Medium Severity [Type],0.28216677277599134
2020,Southern California Mountains,Fire: Medium Severity [Type],0.42819453050397877
2020,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.39465140506329116
2020,Cascades,Fire: Low Severity [Type],0.684
2020,Central Basin and Range,Fire: Low Severity [Type],0.474129247706422
2020,Central California Valley,Fire: Low Severity [Type],0.7370660212765958
2020,Coast Range,Fire: Low Severity [Type],0.5401255962441315
2020,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.4711795454545455
2020,Klamath Mountains,Fire: Low Severity [Type],0.40381799999999995
2020,Mojave Basin and Range,Fire: Low Severity [Type],0.654246197257384
2020,Northern Basin and Range,Fire: Low Severity [Type],0.6493002417012448
2020,Sierra Nevada,Fire: Low Severity [Type],0.3683160152866242
2020,Sonoran Basin and Range,Fire: Low Severity [Type],0.6480862272240085
2020,Southern California Mountains,Fire: Low Severity [Type],0.3157194694960212
2021,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.22033199999999997
2021,Cascades,Fire: High Severity [Type],0
2021,Central Basin and Range,Fire: High Severity [Type],0.1342976
2021,Central California Valley,Fire: High Severity [Type],0.062952
2021,Coast Range,Fire: High Severity [Type],0.1552816
2021,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.1720688
2021,Klamath Mountains,Fire: High Severity [Type],0.20984
2021,Mojave Basin and Range,Fire: High Severity [Type],0.05350919999999999
2021,Northern Basin and Range,Fire: High Severity [Type],0.0388204
2021,Sierra Nevada,Fire: High Severity [Type],0.22452879999999997
2021,Sonoran Basin and Range,Fire: High Severity [Type],0.0702964
2021,Southern California Mountains,Fire: High Severity [Type],0.2581032
2021,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.38588631392405065
2021,Cascades,Fire: Medium Severity [Type],0.316
2021,Central Basin and Range,Fire: Medium Severity [Type],0.3921473027522936
2021,Central California Valley,Fire: Medium Severity [Type],0.20036877446808513
2021,Coast Range,Fire: Medium Severity [Type],0.3053676845070422
2021,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.35751574545454545
2021,Klamath Mountains,Fire: Medium Severity [Type],0.3871784
2021,Mojave Basin and Range,Fire: Medium Severity [Type],0.29253354894514766
2021,Northern Basin and Range,Fire: Medium Severity [Type],0.3120842477178423
2021,Sierra Nevada,Fire: Medium Severity [Type],0.4079867587261147
2021,Sonoran Basin and Range,Fire: Medium Severity [Type],0.2820001273311896
2021,Southern California Mountains,Fire: Medium Severity [Type],0.42703343660477455
2021,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.3937816860759494
2021,Cascades,Fire: Low Severity [Type],0.684
2021,Central Basin and Range,Fire: Low Severity [Type],0.47355509724770645
2021,Central California Valley,Fire: Low Severity [Type],0.7366792255319149
2021,Coast Range,Fire: Low Severity [Type],0.5393507154929578
2021,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.4704154545454546
2021,Klamath Mountains,Fire: Low Severity [Type],0.4029815999999999
2021,Mojave Basin and Range,Fire: Low Severity [Type],0.6539572510548524
2021,Northern Basin and Range,Fire: Low Severity [Type],0.6490953522821578
2021,Sierra Nevada,Fire: Low Severity [Type],0.3674844412738854
2021,Sonoran Basin and Range,Fire: Low Severity [Type],0.6477034726688102
2021,Southern California Mountains,Fire: Low Severity [Type],0.31486336339522547
2022,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.22205399999999997
2022,Cascades,Fire: High Severity [Type],0
2022,Central Basin and Range,Fire: High Severity [Type],0.1353472
2022,Central California Valley,Fire: High Severity [Type],0.06344399999999999
2022,Coast Range,Fire: High Severity [Type],0.15649519999999997
2022,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.1734136
2022,Klamath Mountains,Fire: High Severity [Type],0.21148
2022,Mojave Basin and Range,Fire: High Severity [Type],0.05392739999999999
2022,Northern Basin and Range,Fire: High Severity [Type],0.03912379999999999
2022,Sierra Nevada,Fire: High Severity [Type],0.22628359999999997
2022,Sonoran Basin and Range,Fire: High Severity [Type],0.0708458
2022,Southern California Mountains,Fire: High Severity [Type],0.2601204
2022,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.3850340329113924
2022,Cascades,Fire: Medium Severity [Type],0.316
2022,Central Basin and Range,Fire: Medium Severity [Type],0.3916718532110092
2022,Central California Valley,Fire: Medium Severity [Type],0.200263570212766
2022,Coast Range,Fire: Medium Severity [Type],0.30492896525821594
2022,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.3569350363636364
2022,Klamath Mountains,Fire: Medium Severity [Type],0.3863748
2022,Mojave Basin and Range,Fire: Medium Severity [Type],0.29240429514767935
2022,Northern Basin and Range,Fire: Medium Severity [Type],0.31198573713692945
2022,Sierra Nevada,Fire: Medium Severity [Type],0.40706353273885354
2022,Sonoran Basin and Range,Fire: Medium Severity [Type],0.28183348188638796
2022,Southern California Mountains,Fire: Medium Severity [Type],0.42587234270557034
