StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD
Grassland:Composted,69,69,Growth,Composting,1.1228395847735373,Normal,Always,0.05750561837171704
Grassland:Composted,70,70,Growth,Composting,1.120451028669411,Normal,Always,0.05631800804937818
Grassland:Composted,71,71,Growth,Composting,1.1180265824002922,Normal,Always,0.05876823842631235
Grassland:Composted,72,72,Growth,Composting,1.1155782270342494,Normal,Always,0.06673215542055602
Grassland:Composted,73,73,Growth,Composting,1.1131179436393497,Normal,Always,0.06019667442524242
Grassland:Composted,74,74,Growth,Composting,1.1106577132836615,Normal,Always,0.05849295032605403
Grassland:Composted,75,75,Growth,Composting,1.108209517035252,Normal,Always,0.05878801460820728
Grassland:Composted,76,76,Growth,Composting,1.1057853359621894,Normal,Always,0.06733476771655579
Grassland:Composted,77,77,Growth,Composting,1.1033971511325413,Normal,Always,0.05885509743839096
Grassland:Composted,78,78,Growth,Composting,1.1010569436143753,Normal,Always,0.06381760016981644
Grassland:Composted,79,79,Growth,Composting,1.0987766944757595,Normal,Always,0.05910486528024567
Grassland:Composted,80,80,Growth,Composting,1.0965258286172617,Normal,Always,0.06074502586502197
Grassland:Composted,81,81,Growth,Composting,1.094266851611238,Normal,Always,0.0601437732377481
Grassland:Composted,82,82,Growth,Composting,1.092001365533439,Normal,Always,0.04881869607600551
Grassland:Composted,83,83,Growth,Composting,1.089730972459615,Normal,Always,0.042059152447960886
Grassland:Composted,84,84,Growth,Composting,1.0874572744655164,Normal,Always,0.04873390165694341
Grassland:Composted,85,85,Growth,Composting,1.0851818736268934,Normal,Always,0.05793675131887615
Grassland:Composted,86,86,Growth,Composting,1.0829063720194967,Normal,Always,0.020821754283180793
Grassland:Composted,87,87,Growth,Composting,1.0806323717190764,Normal,Always,0.03200822767166692
Grassland:Composted,88,88,Growth,Composting,1.0783614748013828,Normal,Always,0.0162107261365148
Grassland:Composted,89,89,Growth,Composting,1.0760952833421666,Normal,Always,0.005221271918480813
Grassland:Composted,90,90,Growth,Composting,1.0738353994171779,Normal,Always,0.017112357371178534
Grassland:Composted,91,91,Growth,Composting,1.071583425102167,Normal,Always,0.010976015883504128
Grassland:Composted,92,92,Growth,Composting,1.0693409624728845,Normal,Always,0.006589449541411223
Grassland:Composted,93,93,Growth,Composting,1.0671083944655626,Normal,Always,0.007647186032622227
Grassland:Composted,94,94,Growth,Composting,1.0648846184443896,Normal,Always,0.005909733836815178
Grassland:Composted,95,95,Growth,Composting,1.0626690081270498,Normal,Always,0.0053253464260643165
