Timestep,FlowMultiplierTypeID,FlowGroupID,Value
2002,CFE,Growth,1.0011674849972723
2003,CFE,Growth,1.002542280414621
2004,CFE,Growth,1.003480632842335
2005,CFE,Growth,1.0047244953627932
2006,CFE,Growth,1.0058701582105838
2007,CFE,Growth,1.0069012547735952
2008,CFE,Growth,1.0078887070376432
2009,CFE,Growth,1.008887070376432
2010,CFE,Growth,1.0102345881069286
2011,CFE,Growth,1.011189307146754
2012,CFE,Growth,1.0123895253682489
2013,CFE,Growth,1.0138461538461538
2014,CFE,Growth,1.0150081833060556
2015,CFE,Growth,1.0161974904528095
2016,CFE,Growth,1.0180414620840152
2017,CFE,Growth,1.0189850900163666
2018,CFE,Growth,1.019928717948718
2019,CFE,Growth,1.0208723458810693
2020,CFE,Growth,1.0218159738134207
2021,CFE,Growth,1.0231207888707037
2022,CFE,Growth,1.0244256039279869
2023,CFE,Growth,1.02573041898527
2024,CFE,Growth,1.0270352340425533
2025,CFE,Growth,1.0283400490998362
2026,CFE,Growth,1.0296448641571194
2027,CFE,Growth,1.0309496792144026
2028,CFE,Growth,1.0322544942716858
2029,CFE,Growth,1.033559309328969
2030,CFE,Growth,1.034864124386252
2031,CFE,Growth,1.0362716012002182
2032,CFE,Growth,1.0376790780141845
2033,CFE,Growth,1.0390865548281505
2034,CFE,Growth,1.0404940316421167
2035,CFE,Growth,1.041901508456083
2036,CFE,Growth,1.043308985270049
2037,CFE,Growth,1.0447164620840153
2038,CFE,Growth,1.0461239388979815
2039,CFE,Growth,1.0475314157119475
2040,CFE,Growth,1.0489388925259138
2041,CFE,Growth,1.0503404380796508
2042,CFE,Growth,1.0517419836333879
2043,CFE,Growth,1.053143529187125
2044,CFE,Growth,1.054545074740862
2045,CFE,Growth,1.055946620294599
2046,CFE,Growth,1.0573481658483361
2047,CFE,Growth,1.0587497114020732
2048,CFE,Growth,1.0601512569558103
2049,CFE,Growth,1.0615528025095473
2050,CFE,Growth,1.0629543480632841
2051,CFE,Growth,1.064172898527005
2052,CFE,Growth,1.0653914489907255
2053,CFE,Growth,1.0666099994544462
2054,CFE,Growth,1.067828549918167
2055,CFE,Growth,1.0690471003818875
2056,CFE,Growth,1.0702656508456083
2057,CFE,Growth,1.071484201309329
2058,CFE,Growth,1.0727027517730496
2059,CFE,Growth,1.0739213022367704
2060,CFE,Growth,1.075139852700491
2061,CFE,Growth,1.075981686852155
2062,CFE,Growth,1.0768235210038188
2063,CFE,Growth,1.077665355155483
2064,CFE,Growth,1.0785071893071467
2065,CFE,Growth,1.0793490234588108
2066,CFE,Growth,1.0801908576104746
2067,CFE,Growth,1.0810326917621387
2068,CFE,Growth,1.0818745259138025
2069,CFE,Growth,1.0827163600654663
2070,CFE,Growth,1.0835581942171304
2071,CFE,Growth,1.0839311238406983
2072,CFE,Growth,1.0843040534642663
2073,CFE,Growth,1.0846769830878342
2074,CFE,Growth,1.0850499127114022
2075,CFE,Growth,1.08542284233497
2076,CFE,Growth,1.0857957719585378
2077,CFE,Growth,1.0861687015821058
2078,CFE,Growth,1.0865416312056737
2079,CFE,Growth,1.0869145608292416
2080,CFE,Growth,1.0872874904528096
2081,CFE,Growth,1.0874294844517185
2082,CFE,Growth,1.0875714784506274
2083,CFE,Growth,1.0877134724495363
2084,CFE,Growth,1.0878554664484452
2085,CFE,Growth,1.0879974604473541
2086,CFE,Growth,1.088139454446263
2087,CFE,Growth,1.088281448445172
2088,CFE,Growth,1.0884234424440808
2089,CFE,Growth,1.0885654364429898
2090,CFE,Growth,1.0887074304418984
2091,CFE,Growth,1.088959344244408
2092,CFE,Growth,1.0892112580469175
2093,CFE,Growth,1.0894631718494272
2094,CFE,Growth,1.0897150856519366
2095,CFE,Growth,1.0899669994544463
2096,CFE,Growth,1.0902189132569557
2097,CFE,Growth,1.0904708270594654
2098,CFE,Growth,1.0907227408619748
2099,CFE,Growth,1.0909746546644845
2100,CFE,Growth,1.091226568466994
