Timestep,FlowMultiplierTypeID,FlowGroupID,Value
2002,CFE,Growth,1.0017512274959084
2003,CFE,Growth,1.0038134206219314
2004,CFE,Growth,1.0052209492635025
2005,CFE,Growth,1.0070867430441899
2006,CFE,Growth,1.0088052373158756
2007,CFE,Growth,1.0103518821603927
2008,CFE,Growth,1.011833060556465
2009,CFE,Growth,1.013330605564648
2010,CFE,Growth,1.0153518821603928
2011,CFE,Growth,1.016783960720131
2012,CFE,Growth,1.0185842880523732
2013,CFE,Growth,1.0207692307692309
2014,CFE,Growth,1.0225122749590834
2015,CFE,Growth,1.0242962356792145
2016,CFE,Growth,1.0270621931260229
2017,CFE,Growth,1.0294292594108019
2018,CFE,Growth,1.0317963256955809
2019,CFE,Growth,1.0341633919803601
2020,CFE,Growth,1.0365304582651391
2021,CFE,Growth,1.0392354198036007
2022,CFE,Growth,1.0419403813420622
2023,CFE,Growth,1.0446453428805238
2024,CFE,Growth,1.0473503044189854
2025,CFE,Growth,1.050055265957447
2026,CFE,Growth,1.0527602274959083
2027,CFE,Growth,1.0554651890343698
2028,CFE,Growth,1.0581701505728314
2029,CFE,Growth,1.060875112111293
2030,CFE,Growth,1.0635800736497545
2031,CFE,Growth,1.0669025450081833
2032,CFE,Growth,1.070225016366612
2033,CFE,Growth,1.0735474877250408
2034,CFE,Growth,1.0768699590834698
2035,CFE,Growth,1.0801924304418986
2036,CFE,Growth,1.0835149018003274
2037,CFE,Growth,1.0868373731587562
2038,CFE,Growth,1.090159844517185
2039,CFE,Growth,1.0934823158756137
2040,CFE,Growth,1.0968047872340425
2041,CFE,Growth,1.1009870572831424
2042,CFE,Growth,1.1051693273322423
2043,CFE,Growth,1.1093515973813421
2044,CFE,Growth,1.1135338674304418
2045,CFE,Growth,1.1177161374795417
2046,CFE,Growth,1.1218984075286416
2047,CFE,Growth,1.1260806775777414
2048,CFE,Growth,1.1302629476268413
2049,CFE,Growth,1.134445217675941
2050,CFE,Growth,1.1386274877250409
2051,CFE,Growth,1.1437811423895254
2052,CFE,Growth,1.1489347970540098
2053,CFE,Growth,1.1540884517184942
2054,CFE,Growth,1.1592421063829788
2055,CFE,Growth,1.1643957610474631
2056,CFE,Growth,1.1695494157119477
2057,CFE,Growth,1.174703070376432
2058,CFE,Growth,1.1798567250409164
2059,CFE,Growth,1.185010379705401
2060,CFE,Growth,1.1901640343698854
