Timestep,FlowMultiplierTypeID,FlowGroupID,Value
2002,CFE,Growth,1.0023349699945445
2003,CFE,Growth,1.0050845608292418
2004,CFE,Growth,1.00696126568467
2005,CFE,Growth,1.0094489907255866
2006,CFE,Growth,1.0117403164211676
2007,CFE,Growth,1.0138025095471905
2008,CFE,Growth,1.0157774140752864
2009,CFE,Growth,1.0177741407528642
2010,CFE,Growth,1.0204691762138571
2011,CFE,Growth,1.0223786142935078
2012,CFE,Growth,1.0247790507364976
2013,CFE,Growth,1.0276923076923077
2014,CFE,Growth,1.0300163666121114
2015,CFE,Growth,1.0323949809056192
2016,CFE,Growth,1.0360829241680305
2017,CFE,Growth,1.039239012547736
2018,CFE,Growth,1.0423951009274413
2019,CFE,Growth,1.0455511893071467
2020,CFE,Growth,1.0487072776868522
2021,CFE,Growth,1.0523138930714675
2022,CFE,Growth,1.055920508456083
2023,CFE,Growth,1.0595271238406982
2024,CFE,Growth,1.0631337392253137
2025,CFE,Growth,1.0667403546099292
2026,CFE,Growth,1.0703469699945445
2027,CFE,Growth,1.0739535853791597
2028,CFE,Growth,1.0775602007637752
2029,CFE,Growth,1.0811668161483907
2030,CFE,Growth,1.084773431533006
2031,CFE,Growth,1.0892033933442444
2032,CFE,Growth,1.0936333551554829
2033,CFE,Growth,1.0980633169667213
2034,CFE,Growth,1.1024932787779596
2035,CFE,Growth,1.106923240589198
2036,CFE,Growth,1.1113532024004364
2037,CFE,Growth,1.115783164211675
2038,CFE,Growth,1.1202131260229133
2039,CFE,Growth,1.1246430878341516
2040,CFE,Growth,1.12907304964539
2041,CFE,Growth,1.1346494097108566
2042,CFE,Growth,1.140225769776323
2043,CFE,Growth,1.1458021298417895
2044,CFE,Growth,1.1513784899072559
2045,CFE,Growth,1.1569548499727222
2046,CFE,Growth,1.1625312100381886
2047,CFE,Growth,1.1681075701036552
2048,CFE,Growth,1.1736839301691218
2049,CFE,Growth,1.1792602902345881
2050,CFE,Growth,1.1848366503000545
2051,CFE,Growth,1.1917081898527004
2052,CFE,Growth,1.1985797294053464
2053,CFE,Growth,1.2054512689579924
2054,CFE,Growth,1.2123228085106383
2055,CFE,Growth,1.2191943480632843
2056,CFE,Growth,1.2260658876159303
2057,CFE,Growth,1.2329374271685762
2058,CFE,Growth,1.239808966721222
2059,CFE,Growth,1.246680506273868
2060,CFE,Growth,1.253552045826514
