Timestep,FlowMultiplierTypeID,FlowGroupID,Value
2002,CFE,Growth,1.0005837424986361
2003,CFE,Growth,1.0012711402073105
2004,CFE,Growth,1.0017403164211676
2005,CFE,Growth,1.0023622476813967
2006,CFE,Growth,1.0029350791052918
2007,CFE,Growth,1.0034506273867976
2008,CFE,Growth,1.0039443535188217
2009,CFE,Growth,1.004443535188216
2010,CFE,Growth,1.0051172940534643
2011,CFE,Growth,1.005594653573377
2012,CFE,Growth,1.0061947626841243
2013,CFE,Growth,1.006923076923077
2014,CFE,Growth,1.0075040916530278
2015,CFE,Growth,1.0080987452264047
2016,CFE,Growth,1.0090207310420076
2017,CFE,Growth,1.0098097531369339
2018,CFE,Growth,1.0105987752318604
2019,CFE,Growth,1.0113877973267866
2020,CFE,Growth,1.0121768194217131
2021,CFE,Growth,1.0130784732678668
2022,CFE,Growth,1.0139801271140207
2023,CFE,Growth,1.0148817809601747
2024,CFE,Growth,1.0157834348063284
2025,CFE,Growth,1.0166850886524823
2026,CFE,Growth,1.017586742498636
2027,CFE,Growth,1.01848839634479
2028,CFE,Growth,1.0193900501909439
2029,CFE,Growth,1.0202917040370976
2030,CFE,Growth,1.0211933578832515
2031,CFE,Growth,1.0223008483360612
2032,CFE,Growth,1.0234083387888706
2033,CFE,Growth,1.0245158292416803
2034,CFE,Growth,1.02562331969449
2035,CFE,Growth,1.0267308101472996
2036,CFE,Growth,1.027838300600109
2037,CFE,Growth,1.0289457910529187
2038,CFE,Growth,1.0300532815057284
2039,CFE,Growth,1.0311607719585378
2040,CFE,Growth,1.0322682624113475
2041,CFE,Growth,1.0336623524277142
2042,CFE,Growth,1.0350564424440807
2043,CFE,Growth,1.0364505324604474
2044,CFE,Growth,1.0378446224768139
2045,CFE,Growth,1.0392387124931806
2046,CFE,Growth,1.0406328025095473
2047,CFE,Growth,1.0420268925259137
2048,CFE,Growth,1.0434209825422804
2049,CFE,Growth,1.044815072558647
2050,CFE,Growth,1.0462091625750136
2051,CFE,Growth,1.0479270474631752
2052,CFE,Growth,1.0496449323513366
2053,CFE,Growth,1.051362817239498
2054,CFE,Growth,1.0530807021276596
2055,CFE,Growth,1.054798587015821
2056,CFE,Growth,1.0565164719039826
2057,CFE,Growth,1.058234356792144
2058,CFE,Growth,1.0599522416803056
2059,CFE,Growth,1.061670126568467
2060,CFE,Growth,1.0633880114566285
