Timestep,FlowMultiplierTypeID,FlowGroupID,Value
2002,CFE,Growth,1.0029187124931807
2003,CFE,Growth,1.006355701036552
2004,CFE,Growth,1.0087015821058374
2005,CFE,Growth,1.011811238406983
2006,CFE,Growth,1.0146753955264594
2007,CFE,Growth,1.0172531369339881
2008,CFE,Growth,1.0197217675941082
2009,CFE,Growth,1.0222176759410802
2010,CFE,Growth,1.0255864702673214
2011,CFE,Growth,1.027973267866885
2012,CFE,Growth,1.0309738134206219
2013,CFE,Growth,1.0346153846153845
2014,CFE,Growth,1.0375204582651392
2015,CFE,Growth,1.040493726132024
2016,CFE,Growth,1.0451036552100381
2017,CFE,Growth,1.0474627250409165
2018,CFE,Growth,1.049821794871795
2019,CFE,Growth,1.0521808647026731
2020,CFE,Growth,1.0545399345335515
2021,CFE,Growth,1.0578019721767593
2022,CFE,Growth,1.0610640098199673
2023,CFE,Growth,1.064326047463175
2024,CFE,Growth,1.067588085106383
2025,CFE,Growth,1.0708501227495908
2026,CFE,Growth,1.0741121603927986
2027,CFE,Growth,1.0773741980360065
2028,CFE,Growth,1.0806362356792143
2029,CFE,Growth,1.0838982733224223
2030,CFE,Growth,1.08716031096563
2031,CFE,Growth,1.0906790030005455
2032,CFE,Growth,1.094197695035461
2033,CFE,Growth,1.0977163870703763
2034,CFE,Growth,1.1012350791052918
2035,CFE,Growth,1.1047537711402073
2036,CFE,Growth,1.1082724631751228
2037,CFE,Growth,1.1117911552100381
2038,CFE,Growth,1.1153098472449536
2039,CFE,Growth,1.1188285392798691
2040,CFE,Growth,1.1223472313147844
2041,CFE,Growth,1.1258510951991272
2042,CFE,Growth,1.1293549590834697
2043,CFE,Growth,1.1328588229678123
2044,CFE,Growth,1.136362686852155
2045,CFE,Growth,1.1398665507364976
2046,CFE,Growth,1.14337041462084
2047,CFE,Growth,1.1468742785051829
2048,CFE,Growth,1.1503781423895254
2049,CFE,Growth,1.153882006273868
2050,CFE,Growth,1.1573858701582105
2051,CFE,Growth,1.1604322463175123
2052,CFE,Growth,1.1634786224768139
2053,CFE,Growth,1.1665249986361157
2054,CFE,Growth,1.1695713747954173
2055,CFE,Growth,1.172617750954719
2056,CFE,Growth,1.1756641271140207
2057,CFE,Growth,1.1787105032733225
2058,CFE,Growth,1.181756879432624
2059,CFE,Growth,1.184803255591926
2060,CFE,Growth,1.1878496317512275
2061,CFE,Growth,1.1899542171303874
2062,CFE,Growth,1.192058802509547
2063,CFE,Growth,1.194163387888707
2064,CFE,Growth,1.196267973267867
2065,CFE,Growth,1.1983725586470269
2066,CFE,Growth,1.2004771440261868
2067,CFE,Growth,1.2025817294053465
2068,CFE,Growth,1.2046863147845062
2069,CFE,Growth,1.206790900163666
2070,CFE,Growth,1.208895485542826
2071,CFE,Growth,1.2098278096017459
2072,CFE,Growth,1.2107601336606657
2073,CFE,Growth,1.2116924577195856
2074,CFE,Growth,1.2126247817785052
2075,CFE,Growth,1.213557105837425
2076,CFE,Growth,1.2144894298963447
2077,CFE,Growth,1.2154217539552645
2078,CFE,Growth,1.2163540780141844
2079,CFE,Growth,1.2172864020731042
2080,CFE,Growth,1.218218726132024
2081,CFE,Growth,1.2185737111292962
2082,CFE,Growth,1.2189286961265684
2083,CFE,Growth,1.2192836811238408
2084,CFE,Growth,1.219638666121113
2085,CFE,Growth,1.219993651118385
2086,CFE,Growth,1.2203486361156575
2087,CFE,Growth,1.2207036211129296
2088,CFE,Growth,1.221058606110202
2089,CFE,Growth,1.2214135911074742
2090,CFE,Growth,1.2217685761047463
2091,CFE,Growth,1.2223983606110203
2092,CFE,Growth,1.223028145117294
2093,CFE,Growth,1.223657929623568
2094,CFE,Growth,1.2242877141298418
2095,CFE,Growth,1.2249174986361158
2096,CFE,Growth,1.2255472831423895
2097,CFE,Growth,1.2261770676486634
2098,CFE,Growth,1.2268068521549373
2099,CFE,Growth,1.227436636661211
2100,CFE,Growth,1.228066421167485
